Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-AIMLENG_P1_11-7-2025.png,31,Young,"{'Woman': np.float32(0.007294694), 'Man': np.float32(99.99271)}",angry,indian,0.004770422,99.17149,0.39919412,0.001398413,0.000529,0.42260903,99.13989,7.06E-07,0.008901991,0.06743807,0.07188744,0.42251882,0.2893534
GPT4o-AIMLENG_P2_11-7-2025.png,29,Young,"{'Woman': np.float32(0.0014147528), 'Man': np.float32(99.99858)}",neutral,white,0.017790293,0.079116054,0.002095938,86.937546,7.6476083,5.315844,6.4367423,9.85E-09,0.029942693,15.764573,0.18814701,0.008382517,77.57221
GPT4o-AIMLENG_P3_11-7-2025.png,30,Young,"{'Woman': np.float32(0.0017928758), 'Man': np.float32(99.998215)}",neutral,white,5.26E-05,0.000143509,2.92E-06,99.045235,0.51202387,0.4425548,0.048180155,1.50E-06,4.567747,1.2737678,3.4165986,0.0693868,90.62432
GPT4o-AIMLENG_P4_11-7-2025.png,29,Young,"{'Woman': np.float32(0.0016188507), 'Man': np.float32(99.99838)}",neutral,white,7.17E-05,0.015013208,2.69E-05,84.19423,15.114532,0.6761249,0.17487133,1.98E-12,4.24E-06,1.0208412,0.048409555,4.67E-08,98.755875
GPT4o-AIMLENG_P5_11-7-2025.png,36,Young,"{'Woman': np.float32(0.0004070253), 'Man': np.float32(99.999596)}",neutral,white,0.92315507,7.6657414,0.6247878,36.65686,25.989681,28.139776,0.79971206,5.04E-09,0.04175416,0.000268394,2.8173661,0.000439559,96.340454
GPT4o-AIMLENG_P6_11-7-2025.png,33,Young,"{'Woman': np.float32(6.2462495e-05), 'Man': np.float32(99.99994)}",neutral,white,0.2155805,0.79402274,0.03902581,70.374435,14.166652,14.410287,0.19159356,5.46E-06,0.11963622,0.06880671,1.1123234,0.000937052,98.5067
GPT4o-AIMLENG_P7_11-7-2025.png,32,Young,"{'Woman': np.float32(0.008287548), 'Man': np.float32(99.991714)}",neutral,middle eastern,1.5182691,12.987546,0.9592503,20.651634,41.8305,22.052803,16.818846,0.000213766,0.048997376,0.017510602,8.693583,6.47E-06,74.420845
GPT4o-AIMLENG_P8_11-7-2025.png,26,Young,"{'Woman': np.float32(12.626926), 'Man': np.float32(87.37307)}",fear,black,3.0792813,8.612277,29.503378,18.1016,19.89868,20.804783,1.4772286,0.000181862,93.620514,0.4865341,4.3172164,0.000643465,0.09767984
GPT4o-AIMLENG_P9_11-7-2025.png,26,Young,"{'Woman': np.float32(25.71421), 'Man': np.float32(74.2858)}",happy,white,0.07294189,0.25449306,2.249818,83.84943,11.95351,1.6198145,1.4253238,0.001458301,0.06351662,66.17183,14.70498,0.010792003,17.622097
GPT4o-AIMLENG_P10_11-7-2025.png,42,Middle-aged,"{'Woman': np.float32(0.0027178512), 'Man': np.float32(99.997284)}",angry,middle eastern,0.64409864,7.757624,0.63314354,20.866472,43.409855,26.688805,67.15928,1.01E-07,0.093730204,0.003716085,32.56697,3.31E-05,0.17627893
Llama4-AIMLENG_P1_11-7-2025.jpg,30,Young,"{'Woman': np.float32(6.0396833), 'Man': np.float32(93.96031)}",sad,white,8.989146,10.667462,15.846374,24.746864,18.780794,20.96936,9.61E-05,1.07E-10,0.016464131,0.024858456,99.93346,9.79E-09,0.025121229
Llama4-AIMLENG_P2_11-7-2025.jpg,32,Young,"{'Woman': np.float32(8.523374), 'Man': np.float32(91.47662)}",sad,white,16.131466,0.821234,0.52573884,58.135944,15.372265,9.013352,0.001164018,1.65E-07,21.47087,0.27721268,53.214966,3.23E-05,25.035759
Llama4-AIMLENG_P3_11-7-2025.jpg,27,Young,"{'Woman': np.float32(4.895306), 'Man': np.float32(95.10469)}",sad,white,5.6077795,0.7184222,0.5595686,74.825874,7.5065384,10.78181,0.000581275,4.21E-11,38.15231,3.77E-07,61.50583,5.43E-09,0.34128526
Llama4-AIMLENG_P4_11-7-2025.jpg,33,Young,"{'Woman': np.float32(3.5448797), 'Man': np.float32(96.45512)}",neutral,latino hispanic,4.326089,2.0611036,21.629236,31.263474,3.4772773,37.24282,2.48E-07,3.33E-20,1.84E-11,2.99E-07,0.005918817,1.84E-19,99.99408
Llama4-AIMLENG_P5_11-7-2025.jpg,33,Young,"{'Woman': np.float32(7.4934645), 'Man': np.float32(92.50653)}",sad,black,3.8755774,5.766945,25.076185,23.738964,20.095692,21.44664,0.001424403,1.34E-06,0.019180998,5.53E-06,99.92892,1.62E-10,0.050472993
Llama4-AIMLENG_P6_11-7-2025.jpg,30,Young,"{'Woman': np.float32(4.0570745), 'Man': np.float32(95.94293)}",angry,white,0.12602423,0.28288457,0.045362882,78.44341,15.957409,5.1449084,70.28435,8.81E-15,8.18E-06,1.055864,8.856303,6.16E-12,19.803476
Llama4-AIMLENG_P7_11-7-2025.jpg,33,Young,"{'Woman': np.float32(2.8970783), 'Man': np.float32(97.10292)}",happy,white,6.3138213,4.612233,6.13071,40.548695,23.65841,18.736132,0.061285555,3.51E-08,4.7525754,86.327934,0.00034172,8.832242,0.025625609
Llama4-AIMLENG_P8_11-7-2025.jpg,34,Young,"{'Woman': np.float32(2.5140698), 'Man': np.float32(97.48594)}",happy,white,2.9615138,0.13173097,0.021213498,84.81351,5.270941,6.801098,0.000237049,5.31E-14,0.000938945,99.992165,1.57E-05,0.000588147,0.006044748
Llama4-AIMLENG_P9_11-7-2025.jpg,34,Young,"{'Woman': np.float32(3.696827), 'Man': np.float32(96.30317)}",happy,black,2.535471,0.57754403,93.69147,0.089901134,0.073881924,3.0317369,6.39E-06,5.75E-11,0.012972369,99.76424,0.003813938,0.21674147,0.002237316
Llama4-AIMLENG_P10_11-7-2025.jpg,22,Young,"{'Woman': np.float32(5.308379e-05), 'Man': np.float32(99.999954)}",neutral,middle eastern,0.14201045,3.742168,0.12870824,26.091473,51.900726,17.99492,0.005385976,1.69E-07,0.04250778,0.12935074,0.13841768,0.000126613,99.68421
Qwen3-235B-A22B-AI-ML Eng_P1_19-7-2025.png,29,Young,"{'Woman': np.float32(3.0488997), 'Man': np.float32(96.9511)}",angry,white,3.503143,0.099599004,0.041734107,83.54308,4.3307076,8.481734,100,8.16E-25,1.05E-13,8.17E-13,2.80E-06,2.21E-14,1.33E-07
Qwen3-235B-A22B-AI-ML Eng_P2_19-7-2025.png,30,Young,"{'Woman': np.float32(5.0430937), 'Man': np.float32(94.9569)}",fear,white,12.156363,0.099756055,0.20267726,68.94856,10.451661,8.140986,0.002573556,1.48E-16,94.22731,0.2705241,5.49959,2.43E-09,8.16E-11
Qwen3-235B-A22B-AI-ML Eng_P3_19-7-2025.png,26,Young,"{'Woman': np.float32(7.3537254), 'Man': np.float32(92.64628)}",neutral,white,20.992764,6.299858,1.4213815,55.51671,5.7315373,10.03776,0.78490275,0.14311342,2.2892454,2.8480465,16.230661,0.26058128,77.44345
Qwen3-235B-A22B-AI-ML Eng_P4_19-7-2025.png,25,Young,"{'Woman': np.float32(0.45094886), 'Man': np.float32(99.54905)}",neutral,white,18.097322,4.1680355,0.82614136,52.45558,10.082409,14.370513,2.31E-05,2.08E-17,1.02E-07,0.031362932,0.009414526,1.14E-10,99.9592
Qwen3-235B-A22B-AI-ML Eng_P5_19-7-2025.png,28,Young,"{'Woman': np.float32(6.8185635), 'Man': np.float32(93.181435)}",angry,white,6.2571197,3.071158,1.9766953,43.28881,25.732756,19.673462,72.0663,4.64E-13,2.37E-07,7.11E-06,25.397549,1.16E-10,2.5361433
Qwen3-235B-A22B-AI-ML Eng_P6_19-7-2025.png,32,Young,"{'Woman': np.float32(8.229221), 'Man': np.float32(91.77078)}",angry,white,18.435951,4.287793,1.9717293,31.842188,25.795412,17.666935,95.87971,0.001639994,2.2790525,0.001837545,1.8235823,4.80E-06,0.014178671
Qwen3-235B-A22B-AI-ML Eng_P7_19-7-2025.png,35,Young,"{'Woman': np.float32(6.9796786), 'Man': np.float32(93.02032)}",sad,asian,51.60919,2.5257552,2.3881526,17.71099,11.460013,14.305906,7.769175,0.00448859,11.758514,0.001044967,79.698524,0.001027333,0.7672266
Qwen3-235B-A22B-AI-ML Eng_P8_19-7-2025.png,26,Young,"{'Woman': np.float32(6.679274), 'Man': np.float32(93.32073)}",sad,white,7.3856354,4.1594543,2.3436778,33.74604,31.294308,21.070887,0.048406456,1.92E-11,6.21E-05,0.000769131,99.4962,3.53E-08,0.45456398
Qwen3-235B-A22B-AI-ML Eng_P9_19-7-2025.png,28,Young,"{'Woman': np.float32(0.26414657), 'Man': np.float32(99.73585)}",surprise,asian,58.554276,4.526839,1.2130969,23.254501,4.167053,8.284235,14.84402,0.5336249,0.08105707,0.001744541,0.19951898,84.30279,0.037246894
Qwen3-235B-A22B-AI-ML Eng_P10_19-7-2025.png,25,Young,"{'Woman': np.float32(0.14305502), 'Man': np.float32(99.85693)}",neutral,asian,72.42,4.339762,1.3847613,12.065888,1.7748032,8.014783,0.004245016,6.58E-07,0.015506743,0.001508611,2.8737123,0.000468414,97.10455
StableDiffusion_AIMLENG_P1_11-7-2025.jpg,30,Young,"{'Woman': np.float32(11.288958), 'Man': np.float32(88.71104)}",happy,asian,42.698215,1.1648133,0.8679366,41.634933,3.4057336,10.228374,7.49E-05,3.79E-14,0.000115758,99.959114,5.71E-05,0.02138846,0.019244427
StableDiffusion_AIMLENG_P2_11-7-2025.jpg,28,Young,"{'Woman': np.float32(99.979935), 'Man': np.float32(0.020073298)}",neutral,white,31.355175,0.45222813,0.15136677,59.09521,3.0974283,5.848596,0.5017929,1.93E-11,0.2190636,0.001035857,19.598354,1.04E-05,79.67974
StableDiffusion_AIMLENG_P3_11-7-2025.jpg,31,Young,"{'Woman': np.float32(4.799546), 'Man': np.float32(95.200455)}",sad,asian,66.54828,1.611803,0.80032516,16.566566,1.0583428,13.414694,0.000332009,6.95E-06,1.98E-05,8.02422,67.824295,2.30E-10,24.151123
StableDiffusion_AIMLENG_P4_11-7-2025.jpg,20,Young,"{'Woman': np.float32(1.6393725), 'Man': np.float32(98.36062)}",neutral,white,1.8093903,3.6709838,0.63266385,53.507137,29.42718,10.952638,2.59E-23,0,1.70E-11,4.03E-09,8.20E-09,8.16E-08,100
