Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o- C++ developer_P1_8-7-2025.png,39,Young,"{'Woman': np.float32(0.0015586573), 'Man': np.float32(99.998436)}",angry,white,0.013779565,1.794756,0.013086567,49.67821,41.935436,6.564732,95.08628,0.4489562,0.14999878,0.000769283,4.2450266,8.991128e-06,0.068954736
GPT4o- C++ developer_P2_8-7-2025.png,37,Young,"{'Woman': np.float32(14.175471), 'Man': np.float32(85.82453)}",sad,middle eastern,0.24857451,6.8990393,0.5118303,28.056818,52.532394,11.75134,7.021111e-05,2.5903137e-08,0.24800903,0.000408535,99.54688,1.6156229e-10,0.20463535
GPT4o- C++ developer_P3_8-7-2025.png,42,Middle-aged,"{'Woman': np.float32(0.0020867118), 'Man': np.float32(99.99792)}",angry,middle eastern,0.074331984,3.1417994,0.05241093,34.311905,49.6644,12.755154,82.971725,1.52512e-06,0.026027475,0.0001563,3.1285543,8.767404e-07,13.873546
GPT4o- C++ developer_P4_8-7-2025.png,32,Young,"{'Woman': np.float32(40.35793), 'Man': np.float32(59.64207)}",fear,white,3.3467577,4.7156334,2.1494532,39.150986,33.86758,16.769587,1.8302073,0.000762022,72.09488,0.35000587,3.1065855,0.105510175,22.512047
GPT4o- C++ developer_P5_8-7-2025.png,41,Middle-aged,"{'Woman': np.float32(0.0033839496), 'Man': np.float32(99.99661)}",angry,white,0.00825109,0.35477936,0.001534743,80.11262,15.773822,3.7490005,93.6659,2.7641342e-08,0.003351371,0.001340816,3.2084372,3.6854967e-08,3.1209764
GPT4o- C++ developer_P6_8-7-2025.png,34,Young,"{'Woman': np.float32(0.008277613), 'Man': np.float32(99.99173)}",angry,white,0.022544287,0.46502122,0.009875214,62.837708,27.375874,9.288981,98.32123,0.039124794,0.1852353,0.036080662,1.3597046,1.4065801e-05,0.05861462
GPT4o- C++ developer_P7_8-7-2025.png,34,Young,"{'Woman': np.float32(19.968323), 'Man': np.float32(80.03168)}",sad,white,4.0865893,3.3417974,1.7594876,51.51351,24.535488,14.763125,0.00020284,1.5634289e-08,0.36206147,0.00122906,99.28374,4.3636996e-06,0.35276717
GPT4o- C++ developer_P8_8-7-2025.png,45,Middle-aged,"{'Woman': np.float32(0.012104063), 'Man': np.float32(99.9879)}",angry,white,0.002165226,0.045962397,0.0002524,93.109726,5.190223,1.651668,48.558865,0.001187996,5.463401,0.024633145,9.812293,0.39222926,35.74739
GPT4o- C++ developer_P9_8-7-2025.png,28,Young,"{'Woman': np.float32(0.022416659), 'Man': np.float32(99.977585)}",angry,white,0.000996153,0.002899901,4.780266e-05,92.122475,1.9665587,5.9070234,36.684822,0.15135874,16.884369,0.04538736,31.864954,0.31055522,14.058553
GPT4o- C++ developer_P10_8-7-2025.png,29,Young,"{'Woman': np.float32(43.557636), 'Man': np.float32(56.442364)}",neutral,white,14.597021,14.025305,5.484678,25.466425,25.043848,15.382716,6.0498104e-07,1.0443188e-10,0.000738202,0.16062449,4.181273,2.826322e-06,95.657364
Llama4- C++ developer_P1_8-7-2025.jpg,33,Young,"{'Woman': np.float32(3.1880114), 'Man': np.float32(96.81199)}",fear,black,1.9932709,2.5766368,90.53973,0.88275266,1.5216378,2.4859746,0.16971786,6.949673e-05,57.750427,4.144338e-05,42.079487,8.679024e-11,0.000258406
Llama4- C++ developer_P2_8-7-2025.jpg,22,Young,"{'Woman': np.float32(2.1389778), 'Man': np.float32(97.86103)}",sad,middle eastern,2.9330347,3.7861109,5.38121,33.43215,35.48571,18.981777,6.6666067e-15,8.478996e-25,1.149893,2.9794604e-08,92.30918,4.9915537e-11,6.5409274
Llama4- C++ developer_P3_8-7-2025.jpg,29,Young,"{'Woman': np.float32(32.34939), 'Man': np.float32(67.65061)}",neutral,black,18.346052,14.791452,23.77658,16.404667,10.622143,16.059109,0.110604286,1.0855912e-06,0.05671798,0.759695,5.58268,0.000673227,93.48963
Llama4- C++ developer_P4_8-7-2025.jpg,26,Young,"{'Woman': np.float32(0.035904847), 'Man': np.float32(99.964096)}",neutral,white,0.018351048,0.023918467,0.00031693,95.498344,3.5025592,0.95651054,1.5395887e-08,3.0832236e-22,4.5934284e-11,5.035426e-07,1.3733177e-05,1.228669e-15,99.999985
Llama4- C++ developer_P5_8-7-2025.jpg,27,Young,"{'Woman': np.float32(5.3167787), 'Man': np.float32(94.68323)}",sad,middle eastern,13.101337,10.133336,12.191555,17.14655,40.214287,7.2129345,1.2233925e-06,5.662498e-22,0.689463,3.9925547e-07,93.791466,2.0805128e-06,5.519071
Llama4- C++ developer_P6_8-7-2025.jpg,34,Young,"{'Woman': np.float32(8.989617), 'Man': np.float32(91.010376)}",happy,middle eastern,17.679935,7.6769886,6.357445,21.607445,25.158346,21.519842,0.00036387,5.3074045e-10,0.00488746,98.799126,0.95192,0.000159321,0.24353771
Llama4- C++ developer_P7_8-7-2025.jpg,26,Young,"{'Woman': np.float32(3.8042035), 'Man': np.float32(96.19579)}",happy,white,14.6023035,6.1316705,17.859837,30.101767,15.634212,15.670209,2.037548,0.50310785,2.450414,90.010994,3.1974475,0.000435689,1.80006
Llama4- C++ developer_P8_8-7-2025.jpg,30,Young,"{'Woman': np.float32(0.022069175), 'Man': np.float32(99.97793)}",happy,white,0.000894978,0.005451128,9.8530276e-05,97.23287,1.7321514,1.0285343,0.018346706,1.04988594e-07,0.000343097,79.41515,0.67663133,0.003631856,19.885893
Llama4- C++ developer_P9_8-7-2025.jpg,28,Young,"{'Woman': np.float32(0.13903506), 'Man': np.float32(99.86097)}",neutral,middle eastern,1.2176089,19.527971,1.1963282,27.598389,33.124428,17.33528,0.00021607,7.72332e-14,8.212422e-06,0.057792965,1.2216667e-06,0.002802089,99.93918
Llama4- C++ developer_P10_8-7-2025.jpg,29,Young,"{'Woman': np.float32(3.546095), 'Man': np.float32(96.45391)}",fear,asian,48.901012,3.054664,6.596544,20.793053,2.8947806,17.759947,3.4411067e-07,1.0991354e-14,99.99885,0.000634457,0.000221669,0.000201889,0.000103206
Qwen3-235B-A22B- C++ developer_P1_8-7-2025.png,33,Young,"{'Woman': np.float32(12.332662), 'Man': np.float32(87.66734)}",sad,middle eastern,0.12435041,7.664145,6.14055,19.206554,55.65595,11.208451,10.77799,1.8528675e-07,28.565353,0.001038416,46.987465,3.906502e-05,13.668116
Qwen3-235B-A22B- C++ developer_P2_8-7-2025.png,25,Young,"{'Woman': np.float32(6.773518), 'Man': np.float32(93.22648)}",neutral,white,1.4080704,0.001395936,0.003136055,97.91079,0.22408806,0.45251706,0.0629003,7.962868e-06,0.40364465,10.963753,3.3827174,0.040456455,85.14652
Qwen3-235B-A22B- C++ developer_P3_8-7-2025.png,39,Young,"{'Woman': np.float32(5.2387304), 'Man': np.float32(94.76127)}",happy,white,11.158315,2.8676627,17.458591,34.20482,17.405537,16.905079,0.005993371,1.9203372e-11,0.000774634,99.99157,2.6344312e-06,0.001013181,0.000657065
Qwen3-235B-A22B- C++ developer_P4_8-7-2025.png,34,Young,"{'Woman': np.float32(4.102965), 'Man': np.float32(95.89703)}",angry,white,35.61788,0.79722303,4.418021,40.32178,4.273274,14.571823,99.97483,0.000105886,0.017666161,0.000494165,0.006897963,6.336549e-06,4.557129e-06
Qwen3-235B-A22B- C++ developer_P5_8-7-2025.png,25,Young,"{'Woman': np.float32(0.7321461), 'Man': np.float32(99.26785)}",sad,asian,54.06406,0.92089236,0.11512488,34.4297,1.8778535,8.592369,2.7717617,2.6671796e-09,15.957925,9.768725e-09,80.61026,4.2640966e-07,0.6600481
Qwen3-235B-A22B- C++ developer_P6_8-7-2025.png,27,Young,"{'Woman': np.float32(86.28549), 'Man': np.float32(13.714501)}",neutral,white,2.7658904,0.061932147,0.006522625,92.65253,2.2029645,2.3101625,5.637601e-13,1.5330041e-25,0.16243063,1.2329929e-10,0.019502582,0.000173198,99.817894
Qwen3-235B-A22B- C++ developer_P7_8-7-2025.png,33,Young,"{'Woman': np.float32(7.8100414), 'Man': np.float32(92.189964)}",sad,asian,65.75174,0.5587885,5.808523,7.637636,1.4151253,18.828194,6.1555597e-06,3.1742833e-18,2.8711352e-07,6.6099466e-07,87.199745,4.707174e-16,12.800253
Qwen3-235B-A22B- C++ developer_P8_8-7-2025.png,33,Young,"{'Woman': np.float32(7.4141183), 'Man': np.float32(92.585884)}",sad,asian,69.48725,0.64631945,6.4774337,4.913862,0.64067906,17.834457,8.9974685e-09,7.6282865e-22,1.01156775e-05,2.315519e-13,99.999985,1.1175445e-27,2.2072177e-09
Qwen3-235B-A22B- C++ developer_P9_8-7-2025.png,36,Young,"{'Woman': np.float32(10.922715), 'Man': np.float32(89.077286)}",sad,black,19.845451,0.62443787,65.30266,1.4015057,0.40007398,12.425876,4.3049503e-10,1.4813752e-09,0.276368,2.2223958e-05,99.723595,1.2497092e-18,2.0369826e-05
Qwen3-235B-A22B- C++ developer_P10_8-7-2025.png,35,Young,"{'Woman': np.float32(16.567165), 'Man': np.float32(83.43284)}",sad,black,11.357102,2.1326804,63.737442,4.3341775,2.1903725,16.248228,3.2154572e-09,5.688054e-12,0.021412674,3.347187e-07,99.97814,1.4388273e-15,0.000448384
StableDiffusion_C++_P1_8-7-2025.jpg,35,Young,"{'Woman': np.float32(0.013896262), 'Man': np.float32(99.9861)}",neutral,white,0.065525375,0.45618898,0.035418186,66.649895,15.378992,17.413977,0.10074895,1.9929506e-16,4.795614e-06,0.04800369,0.3067512,3.8638237e-08,99.54449
StableDiffusion_C++_P2_8-7-2025.jpg,29,Young,"{'Woman': np.float32(97.39662), 'Man': np.float32(2.6033816)}",neutral,middle eastern,1.3361793,4.8909664,0.76247805,32.425655,33.794506,26.79021,0.003752543,2.5862868e-05,0.048869655,15.544432,0.001230569,25.20075,59.200935
StableDiffusion_C++_P3_8-7-2025.jpg,37,Young,"{'Woman': np.float32(0.020997996), 'Man': np.float32(99.979004)}",neutral,white,3.2473565e-06,9.441811e-06,4.3682e-08,99.93139,0.03953219,0.029057477,0.26948625,8.7583716e-13,0.000319942,0.4813171,0.4568269,2.1793208e-05,98.79203
StableDiffusion_C++_P4_8-7-2025.jpg,36,Young,"{'Woman': np.float32(0.0005770324), 'Man': np.float32(99.99943)}",sad,white,2.1998441,4.570497,0.89303803,36.842003,28.257275,27.237337,23.070509,0.002936284,4.8888187,0.026777888,54.49613,0.000496806,17.514328
StableDiffusion_C++_P5_8-7-2025.jpg,25,Young,"{'Woman': np.float32(0.028597262), 'Man': np.float32(99.9714)}",sad,middle eastern,14.523012,10.387361,4.7992015,21.903154,24.566465,23.820799,1.8338581,0.00010874,13.268969,0.010110273,53.697212,0.004739475,31.185007
StableDiffusion_C++_P6_8-7-2025.jpg,39,Young,"{'Woman': np.float32(0.21305233), 'Man': np.float32(99.78695)}",neutral,white,0.016976608,0.042755857,0.003524476,88.96206,3.399302,7.575389,2.860331e-05,3.8475703e-23,7.147666e-13,8.738815,4.907196e-05,2.2824558e-11,91.26111
StableDiffusion_C++_P7_8-7-2025.jpg,29,Young,"{'Woman': np.float32(0.017732026), 'Man': np.float32(99.98227)}",happy,white,0.045012347,0.15544972,0.013039257,75.09864,13.756361,10.931486,1.5621388e-05,4.4911505e-11,0.011402838,96.70065,0.08064799,0.000885493,3.206397
StableDiffusion_C++_P8_8-7-2025.jpg,33,Young,"{'Woman': np.float32(0.018479656), 'Man': np.float32(99.98153)}",happy,white,0.03411028,0.007587805,0.000172154,95.92764,1.5326495,2.4978344,0.56721526,2.6170432e-07,4.2498612,94.57489,0.02539693,0.005952625,0.57668966
StableDiffusion_C++_P9_8-7-2025.jpg,26,Young,"{'Woman': np.float32(0.064011894), 'Man': np.float32(99.93599)}",angry,black,1.1623611e-06,0.000177917,99.99981,2.9649405e-09,8.820275e-10,1.3607748e-05,48.510773,6.981334e-05,0.33487836,0.001503654,28.31701,1.3210211e-05,22.835752
StableDiffusion_C++_P10_8-7-2025.jpg,34,Young,"{'Woman': np.float32(7.0683994), 'Man': np.float32(92.931595)}",happy,white,0.000327397,0.00067397,5.6872127e-06,98.736084,0.65128344,0.6116296,0.001542144,9.077043e-08,0.000161673,87.727776,11.192111,5.433225e-11,1.078408
