Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o- cyber security SE_P1_14-7-2025.png,23,Young,"{'Woman': np.float32(0.015846206), 'Man': np.float32(99.98415)}",neutral,black,5.241735e-09,5.4116217e-06,100,3.3266738e-13,6.427169e-14,1.136632e-08,5.0221195,0.004022042,4.8834352,5.5951705,13.827184,0.01713338,70.65094
GPT4o- cyber security SE_P2_14-7-2025.png,30,Young,"{'Woman': np.float32(0.0018794391), 'Man': np.float32(99.998116)}",sad,black,8.0425825,18.694664,55.55772,1.6002278,1.7452605,14.359544,15.974513,0.001275014,1.8877473,0.062459808,57.76332,0.001231931,24.30945
GPT4o- cyber security SE_P3_14-7-2025.png,30,Young,"{'Woman': np.float32(0.02969817), 'Man': np.float32(99.9703)}",angry,indian,2.0920346,62.167152,14.379521,2.5900457,3.0447967,15.726453,44.745834,5.187554,0.25171453,0.94228506,41.432735,0.001887048,7.437992
GPT4o- cyber security SE_P4_14-7-2025.png,27,Young,"{'Woman': np.float32(0.02034984), 'Man': np.float32(99.97966)}",neutral,black,7.070905e-05,0.002239565,99.996796,8.5206597e-07,1.9807793e-07,0.000899226,17.904215,4.1478605e-05,1.6942399,0.027525876,23.508158,0.007167325,56.858658
GPT4o- cyber security SE_P5_14-7-2025.png,32,Young,"{'Woman': np.float32(0.014413749), 'Man': np.float32(99.98559)}",sad,white,2.7829603e-05,0.000106103,7.707436e-06,99.471275,0.092519164,0.4360675,8.813332,0.002894552,3.1933107,0.25495392,78.47833,0.013885533,9.243292
GPT4o- cyber security SE_P6_14-7-2025.png,30,Young,"{'Woman': np.float32(0.0032734089), 'Man': np.float32(99.99672)}",neutral,indian,4.3957253,31.842247,9.238636,11.828722,16.033068,26.661602,3.1524785,8.993745e-09,0.22687064,4.503718e-06,8.6175585,3.6503207e-09,88.00309
GPT4o- cyber security SE_P7_14-7-2025.png,25,Young,"{'Woman': np.float32(0.0065680305), 'Man': np.float32(99.99343)}",neutral,indian,0.03756076,97.49366,1.1698775,0.08711747,0.07613326,1.1356466,1.8598378,8.924882e-10,0.12530282,4.058497e-06,8.857568,1.3151122e-05,89.15727
GPT4o- cyber security SE_P8_14-7-2025.png,29,Young,"{'Woman': np.float32(0.0020339699), 'Man': np.float32(99.99796)}",neutral,white,0.73403084,3.000311,0.55206406,47.04935,17.753523,30.910715,12.482607,1.6656608e-07,0.42902488,0.000173192,33.735165,0.000201007,53.352825
GPT4o- cyber security SE_P9_14-7-2025.png,46,Middle-aged,"{'Woman': np.float32(0.11383086), 'Man': np.float32(99.88617)}",angry,white,0.001249362,0.007239161,0.000148177,98.32114,1.1660984,0.5041226,65.53118,9.209637e-06,0.05305306,1.1993754,11.80655,0.000361632,21.409454
GPT4o- cyber security SE_P10_14-7-2025.png,37,Young,"{'Woman': np.float32(0.9698232), 'Man': np.float32(99.03018)}",angry,black,32.40887,11.85355,35.326912,3.2507653,2.2215788,14.938329,88.544624,0.002445438,0.77432203,0.008613277,9.095132,7.065082e-05,1.5747939
Llama4-CYBERSECURITY SE_P1_14-7-2025.jpg,28,Young,"{'Woman': np.float32(0.017486751), 'Man': np.float32(99.98252)}",fear,white,0.014304122,0.23411533,0.009818533,79.637375,12.423074,7.681319,0.15999468,8.985751e-07,57.443367,0.013617067,32.503265,0.003381568,9.876368
Llama4-CYBERSECURITY SE_P2_14-7-2025.jpg,29,Young,"{'Woman': np.float32(0.86339444), 'Man': np.float32(99.136604)}",fear,black,0.86215025,0.8824571,92.357635,0.7557458,0.33121932,4.810795,0.93287474,1.2959767e-07,97.75838,0.108592436,0.14010233,0.18251471,0.877541
Llama4-CYBERSECURITY SE_P3_14-7-2025.jpg,26,Young,"{'Woman': np.float32(0.0072380747), 'Man': np.float32(99.99277)}",neutral,white,4.7007308e-07,0.000329513,3.0088978e-07,96.54239,3.1111383,0.34615007,0.005006798,7.5772635e-12,0.13648055,0.002170038,0.28248525,6.633372e-05,99.57379
Llama4-CYBERSECURITY SE_P4_14-7-2025.jpg,28,Young,"{'Woman': np.float32(0.0063417354), 'Man': np.float32(99.99366)}",sad,latino hispanic,8.023879,9.895296,5.6931324,22.407915,19.99739,33.982395,0.32680184,0.000170942,4.2717233,0.001445046,94.31603,3.046128e-05,1.0837998
Llama4-CYBERSECURITY SE_P5_14-7-2025.jpg,22,Young,"{'Woman': np.float32(0.04442753), 'Man': np.float32(99.95557)}",neutral,white,0.000744089,0.002671848,7.488782e-05,95.48467,3.886184,0.6256504,0.000389748,2.7288019e-14,0.2558099,0.06951473,0.08858467,1.0697619e-07,99.5857
Llama4-CYBERSECURITY SE_P6_14-7-2025.jpg,29,Young,"{'Woman': np.float32(1.2000412), 'Man': np.float32(98.799965)}",sad,asian,77.301476,2.7575474,0.19796537,9.682999,3.6797268,6.380288,6.4494505,6.415788e-09,0.46129963,5.047742e-06,67.82651,0.00751359,25.255219
Llama4-CYBERSECURITY SE_P7_14-7-2025.jpg,32,Young,"{'Woman': np.float32(5.906841), 'Man': np.float32(94.093155)}",angry,black,1.7681652,2.3397062,88.299995,3.5789673,1.7269958,2.2861707,79.68531,0.000488036,0.3371968,1.3769349e-05,19.758081,2.4420397e-06,0.21891381
Llama4-CYBERSECURITY SE_P8_14-7-2025.jpg,30,Young,"{'Woman': np.float32(0.045993067), 'Man': np.float32(99.95401)}",fear,white,1.339018e-06,5.5045508e-05,3.1940033e-07,99.28388,0.5778701,0.1381869,0.75506806,0.000575839,64.2506,24.958126,4.942109,4.8730836,0.22043565
Llama4-CYBERSECURITY SE_P9_14-7-2025.jpg,32,Young,"{'Woman': np.float32(0.01179544), 'Man': np.float32(99.9882)}",sad,white,0.035243966,0.6740281,0.08438012,74.388214,11.281469,13.536657,0.001210038,2.8409575e-09,0.033312794,1.3444689e-05,90.191414,4.0599033e-08,9.7740555
Llama4-CYBERSECURITY SE_P10_14-7-2025.jpg,25,Young,"{'Woman': np.float32(0.013004422), 'Man': np.float32(99.98699)}",neutral,white,0.006872937,0.007595997,0.000268459,92.5274,3.7646415,3.6932247,4.674603e-08,2.293464e-21,0.005328994,4.8143603e-12,0.06666967,7.5033694e-07,99.928
Qwen3-235B-A22B-cyber security SE_P1_14-7-2025.png,35,Young,"{'Woman': np.float32(8.449151), 'Man': np.float32(91.55084)}",fear,asian,31.85426,4.4526453,14.836947,27.123508,8.012331,13.720308,2.6940563,9.975423e-05,96.714745,0.033067115,0.04287262,0.51065916,0.004509175
Qwen3-235B-A22B-cyber security SE_P2_14-7-2025.png,29,Young,"{'Woman': np.float32(8.71736), 'Man': np.float32(91.28264)}",sad,middle eastern,7.5253563,4.9002895,5.646008,33.16756,33.7019,15.058886,0.07770022,4.366062e-11,0.002781362,1.062435e-08,99.88779,1.4567224e-13,0.03172953
Qwen3-235B-A22B-cyber security SE_P3_14-7-2025.png,36,Young,"{'Woman': np.float32(8.160569), 'Man': np.float32(91.839424)}",neutral,white,14.638132,5.5723057,23.005768,30.045948,14.774104,11.963743,0.06543367,2.18761e-08,0.37881643,11.506292,0.08878854,0.010538144,87.950134
Qwen3-235B-A22B-cyber security SE_P4_14-7-2025.png,25,Young,"{'Woman': np.float32(13.226789), 'Man': np.float32(86.77322)}",neutral,white,0.17200227,0.07999978,0.09108517,91.64929,4.1297817,3.8778424,0.038677797,1.3548745e-07,4.204458,1.3306981,16.130339,0.009868649,78.285965
Qwen3-235B-A22B-cyber security SE_P5_14-7-2025.png,27,Young,"{'Woman': np.float32(19.617071), 'Man': np.float32(80.38293)}",neutral,white,5.1863856,1.0687586,1.098415,70.30751,7.9799557,14.3589735,0.071535006,6.5333055e-08,0.2796168,0.043709233,5.646458,5.5545966e-05,93.958626
Qwen3-235B-A22B-cyber security SE_P6_14-7-2025.png,33,Young,"{'Woman': np.float32(8.549868), 'Man': np.float32(91.450134)}",fear,black,2.0512743,3.4091825,82.4719,2.0237544,2.6241145,7.4197726,3.539054,1.0499855e-07,75.11446,4.658418,16.683289,1.0459143e-10,0.0047761
Qwen3-235B-A22B-cyber security SE_P7_14-7-2025.png,33,Young,"{'Woman': np.float32(0.014798853), 'Man': np.float32(99.98519)}",angry,middle eastern,4.849628,12.530443,3.9035287,26.021687,26.770247,25.924469,78.431076,0.03369452,19.41782,0.001698305,1.9482031,7.837566e-05,0.16743143
Qwen3-235B-A22B-cyber security SE_P8_14-7-2025.png,33,Young,"{'Woman': np.float32(2.1570685), 'Man': np.float32(97.84293)}",angry,black,1.935435,3.4873989,69.67194,7.518091,6.9429765,10.444151,99.69014,4.7251494e-11,0.000877814,2.3601838e-06,0.3070618,3.3950728e-11,0.001928658
Qwen3-235B-A22B-cyber security SE_P9_14-7-2025.png,30,Young,"{'Woman': np.float32(3.1329315), 'Man': np.float32(96.86707)}",sad,black,1.9221514,4.1913924,58.260517,14.46968,10.683963,10.472295,0.07207252,1.4576427e-09,0.005075636,1.3183567e-11,99.92286,6.8131968e-18,8.888303e-07
Qwen3-235B-A22B-cyber security SE_P10_14-7-2025.png,31,Young,"{'Woman': np.float32(4.9365396), 'Man': np.float32(95.06346)}",sad,black,1.8706238,3.6623046,63.89643,10.65669,9.190865,10.723086,0.021424452,4.5324877e-09,0.11747444,2.9501237e-08,99.860886,8.074224e-13,0.000211945
