Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-DevOps Engineer_P1_14-7-2025.png,34,Young,"{'Woman': np.float32(0.0025371767), 'Man': np.float32(99.99746)}",neutral,white,7.927279e-06,1.12301395e-05,6.0305304e-08,99.807304,0.093039095,0.09964614,5.318101,4.5897465e-07,0.009886049,0.064994924,1.4112854,0.0001569,93.19558
GPT4o-DevOps Engineer_P2_14-7-2025.png,27,Young,"{'Woman': np.float32(7.9128074e-07), 'Man': np.float32(100.0)}",happy,white,0.000115654,0.00429252,1.4773784e-05,96.17536,3.043333,0.77688664,0.009032449,3.2443674e-07,0.081050284,76.475,0.1263224,0.9346686,22.373934
GPT4o-DevOps Engineer_P3_14-7-2025.png,30,Young,"{'Woman': np.float32(0.00014736051), 'Man': np.float32(99.999855)}",neutral,white,0.00082206,0.011321338,0.000526617,97.405975,1.8256813,0.7556572,1.2872363,2.2110585e-08,0.019230124,0.036441986,2.5817332,0.000125669,96.07523
GPT4o-DevOps Engineer_P4_14-7-2025.png,33,Young,"{'Woman': np.float32(0.00019045248), 'Man': np.float32(99.99981)}",neutral,white,0.026368087,0.08810821,0.005645175,92.11336,4.5161066,3.250418,0.12307256,1.6159982e-12,1.4765247e-05,0.001515661,0.12242542,1.3180173e-07,99.75297
GPT4o-DevOps Engineer_P5_14-7-2025.png,36,Young,"{'Woman': np.float32(4.5213896e-05), 'Man': np.float32(99.999954)}",neutral,white,0.008471167,0.17512679,0.002085646,66.8713,26.501148,6.4418755,0.051078912,1.9508134e-05,0.002494736,39.249775,1.2254092,0.0262901,59.444935
GPT4o-DevOps Engineer_P6_14-7-2025.png,35,Young,"{'Woman': np.float32(0.003810474), 'Man': np.float32(99.996185)}",neutral,white,1.5056453,1.8252054,0.25983864,47.21226,16.692871,32.504177,9.358853,6.6390204e-09,0.001294496,0.000225149,3.495659,5.933286e-08,87.143974
GPT4o-DevOps Engineer_P7_14-7-2025.png,32,Young,"{'Woman': np.float32(0.005421285), 'Man': np.float32(99.994576)}",angry,white,0.020065881,0.10486087,0.002240169,81.80448,11.053929,7.0144205,62.13564,0.016428707,7.238217,1.8973784,14.896384,0.012783177,13.803177
GPT4o-DevOps Engineer_P8_14-7-2025.png,32,Young,"{'Woman': np.float32(5.370276e-05), 'Man': np.float32(99.99994)}",sad,white,3.2283757,6.468252,0.90092283,34.915936,27.809181,26.677332,3.0485687,3.4392383e-06,4.368359,0.34249368,79.49613,0.009624114,12.734822
GPT4o-DevOps Engineer_P9_14-7-2025.png,35,Young,"{'Woman': np.float32(0.0036176832), 'Man': np.float32(99.99639)}",neutral,white,4.622245e-05,8.882384e-05,1.7816168e-06,99.60588,0.21747242,0.17650983,0.32402813,0.000428727,0.11658184,18.997759,1.9916226,0.85676473,77.71282
GPT4o-DevOps Engineer_P10_14-7-2025.png,33,Young,"{'Woman': np.float32(0.0008422977), 'Man': np.float32(99.99915)}",happy,white,0.000669318,0.00473241,5.8487352e-05,94.58725,3.6385224,1.7687654,2.0385469e-05,2.002699e-11,2.4248735e-05,97.67387,0.000633224,0.027238183,2.2982185
Llama4-DevOps Engineer_P1_14-7-2025.jpg,34,Young,"{'Woman': np.float32(3.7160926), 'Man': np.float32(96.2839)}",sad,asian,57.794243,0.6623239,0.7014872,29.967903,2.60157,8.272471,0.000500374,6.0427995e-12,29.31783,9.9117235e-05,64.646095,6.7923575e-05,6.0354095
Llama4-DevOps Engineer_P2_14-7-2025.jpg,28,Young,"{'Woman': np.float32(0.0052192155), 'Man': np.float32(99.99478)}",happy,white,0.000787705,0.002558056,3.004246e-05,95.41441,3.4751773,1.1070397,5.2865187e-05,3.113537e-12,0.002803836,85.8334,0.001992851,0.014056157,14.147696
Llama4-DevOps Engineer_P3_14-7-2025.jpg,27,Young,"{'Woman': np.float32(0.021463526), 'Man': np.float32(99.97854)}",neutral,white,6.1778346e-22,3.471655e-23,6.4857405e-28,100,1.12078194e-10,2.3194823e-11,0.1238479,4.5625478e-10,0.007234397,0.022030666,7.7394075,2.0403618e-06,92.107475
Llama4-DevOps Engineer_P4_14-7-2025.jpg,29,Young,"{'Woman': np.float32(0.0031762694), 'Man': np.float32(99.996826)}",neutral,white,4.5096613e-07,1.8363314e-06,3.0292306e-08,99.94519,0.02886873,0.025947228,0.22878069,5.736132e-12,0.001815857,16.303944,0.18421364,0.000155829,83.2811
Llama4-DevOps Engineer_P5_14-7-2025.jpg,25,Young,"{'Woman': np.float32(0.00058026944), 'Man': np.float32(99.99941)}",neutral,white,0.006098081,0.021145077,0.001331124,94.79465,2.576914,2.5998664,3.1055726e-05,4.303209e-15,5.967674e-05,0.7451893,0.001508591,3.948162e-11,99.25321
Llama4-DevOps Engineer_P6_14-7-2025.jpg,33,Young,"{'Woman': np.float32(1.7037217e-05), 'Man': np.float32(99.999985)}",surprise,white,0.002525478,0.010862179,0.000372701,87.859825,4.4212284,7.7051816,6.1734548,1.0104322e-05,7.598006,0.36295432,1.3756735,64.30431,20.185589
Llama4-DevOps Engineer_P7_14-7-2025.jpg,30,Young,"{'Woman': np.float32(0.00063693407), 'Man': np.float32(99.99937)}",happy,white,2.4886739e-11,1.061582e-11,1.4402989e-14,99.99982,3.290644e-05,0.000151741,0.001759728,4.8541007e-16,7.030519e-05,98.41425,0.001142771,0.00449029,1.5782715
Llama4-DevOps Engineer_P8_14-7-2025.jpg,32,Young,"{'Woman': np.float32(0.0074376925), 'Man': np.float32(99.99256)}",neutral,white,4.95339e-12,4.3723875e-11,2.2788482e-13,99.99969,0.00017017,0.000139298,5.090945,9.849363e-07,0.07150861,0.12890129,44.916378,1.9687777e-05,49.79225
Llama4-DevOps Engineer_P9_14-7-2025.jpg,26,Young,"{'Woman': np.float32(0.0021180806), 'Man': np.float32(99.99788)}",happy,white,1.4825588e-10,1.0109348e-09,3.2488311e-12,99.998055,0.001180649,0.000764602,1.1380821e-07,5.876171e-12,0.000246401,93.24923,1.533686e-05,1.7566181e-07,6.7505074
Llama4-DevOps Engineer_P10_14-7-2025.jpg,31,Young,"{'Woman': np.float32(0.0011460885), 'Man': np.float32(99.998856)}",happy,white,0.003734663,0.00486947,0.000184459,96.37893,1.592207,2.0200784,0.036414213,1.7657139e-06,0.03610438,87.566895,0.12998997,9.944894e-06,12.230585
