Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o- JavaBackenddeveloper_P1_10-7-2025.png,32,Young,"{'Woman': np.float32(0.004502917), 'Man': np.float32(99.99549)}",neutral,white,0.001582651,0.005682484,0.000157737,96.14179,3.012325,0.83847076,0.05113923,4.89E-12,0.0006163,0.00029567,0.592311,1.83E-05,99.35562
GPT4o- JavaBackenddeveloper_P2_10-7-2025.png,32,Young,"{'Woman': np.float32(0.003162243), 'Man': np.float32(99.99684)}",neutral,white,0.025417812,0.09572686,0.003065706,89.13511,8.464162,2.2765245,9.22E-05,4.99E-22,1.69E-09,1.42E-05,0.001529871,3.15E-11,99.99837
GPT4o- JavaBackenddeveloper_P3_10-7-2025.png,32,Young,"{'Woman': np.float32(0.0035904108), 'Man': np.float32(99.996414)}",angry,white,0.000330246,0.001633819,8.45E-06,97.801285,1.797739,0.39900044,92.639694,1.76E-12,0.13574798,2.79E-07,2.242645,4.88E-08,4.981914
GPT4o- JavaBackenddeveloper_P4_10-7-2025.png,29,Young,"{'Woman': np.float32(0.008468707), 'Man': np.float32(99.99154)}",neutral,white,0.039536726,0.1851213,0.00506621,80.78883,14.264658,4.7167907,0.000641957,1.13E-17,5.40E-08,0.06362908,0.007342618,6.84E-10,99.92838
GPT4o- JavaBackenddeveloper_P5_10-7-2025.png,31,Young,"{'Woman': np.float32(0.002880559), 'Man': np.float32(99.997116)}",angry,white,0.000388792,0.002320573,3.55E-05,98.33741,1.3375876,0.32225224,99.70715,7.54E-09,0.00040446,0.06182378,0.19683884,1.47E-06,0.0337848
GPT4o- JavaBackenddeveloper_P6_10-7-2025.png,32,Young,"{'Woman': np.float32(0.0007785321), 'Man': np.float32(99.99922)}",neutral,white,0.077810526,0.20612115,0.003374281,73.74678,11.648731,14.317176,2.017952,6.63E-08,0.2999724,0.018389506,3.5243332,0.000960168,94.13839
GPT4o- JavaBackenddeveloper_P7_10-7-2025.png,34,Young,"{'Woman': np.float32(0.0011224293), 'Man': np.float32(99.99888)}",neutral,white,0.078825995,0.58140916,0.015337319,69.61116,21.713017,8.00026,22.806372,1.64E-06,0.106357396,0.89249974,13.977398,5.61E-05,62.21731
GPT4o- JavaBackenddeveloper_P8_10-7-2025.png,29,Young,"{'Woman': np.float32(7.488854e-05), 'Man': np.float32(99.99993)}",neutral,white,0.000348676,0.08988434,0.000184793,54.63665,43.474434,1.798495,22.395498,0.004494574,4.695655,32.16224,7.1713195,0.25654685,33.31425
GPT4o- JavaBackenddeveloper_P9_10-7-2025.png,28,Young,"{'Woman': np.float32(21.350338), 'Man': np.float32(78.649666)}",fear,asian,54.638588,2.1711142,0.8472049,25.943195,4.9307203,11.469178,2.4105737,0.012111702,70.16906,2.1242757,2.8900275,2.0684078,20.32555
GPT4o- JavaBackenddeveloper_P10_10-7-2025.png,33,Young,"{'Woman': np.float32(0.00111931), 'Man': np.float32(99.99888)}",neutral,white,0.022910265,0.16822146,0.002357937,88.55257,8.122054,3.131889,6.5611086,4.01E-05,0.3491315,3.9340734,8.949881,0.001839374,80.203926
Llama4_JavaBackendDeveloper_P1_10-7-2025.jpg,35,Young,"{'Woman': np.float32(0.00230481), 'Man': np.float32(99.997696)}",neutral,white,0.03401576,0.45581082,0.020350428,63.759613,18.582048,17.148163,0.010038752,3.01E-09,0.14581442,0.007730354,1.9420563,2.69E-05,97.89433
Llama4_JavaBackendDeveloper_P2_10-7-2025.jpg,35,Young,"{'Woman': np.float32(4.458648), 'Man': np.float32(95.54135)}",sad,black,6.96879,3.5660005,31.71414,17.665758,19.302341,20.782974,3.295299,7.19E-06,5.15E-05,0.002714221,94.88246,4.13E-11,1.8194635
Llama4_JavaBackendDeveloper_P3_10-7-2025.jpg,38,Young,"{'Woman': np.float32(4.173864), 'Man': np.float32(95.82613)}",angry,white,0.02555824,0.12000307,0.01654589,83.7776,14.269295,1.7910028,99.88011,6.55E-15,8.78E-08,0.10739903,0.001504287,2.62E-11,0.010982213
Llama4_JavaBackendDeveloper_P4_10-7-2025.jpg,28,Young,"{'Woman': np.float32(1.6114538e-05), 'Man': np.float32(99.999985)}",neutral,middle eastern,0.00197566,1.2434422,0.005966615,35.250645,55.773735,7.7242384,13.690236,1.94E-07,0.04042413,0.000167824,3.1694682,1.98E-05,83.099686
Llama4_JavaBackendDeveloper_P5_10-7-2025.jpg,30,Young,"{'Woman': np.float32(12.065111), 'Man': np.float32(87.93489)}",fear,white,6.6770034,3.9840236,0.38501507,54.5411,24.211142,10.2017145,5.91E-06,4.11E-15,91.58345,5.25E-06,8.416529,6.82E-07,1.01E-05
Llama4_JavaBackendDeveloper_P6_10-7-2025.jpg,37,Young,"{'Woman': np.float32(5.3041534), 'Man': np.float32(94.69585)}",happy,black,10.129239,1.3978599,86.015,0.2751363,0.11955663,2.063206,3.24E-07,8.18E-16,3.85E-06,53.5834,0.001144341,0.000563342,46.414886
Llama4_JavaBackendDeveloper_P7_10-7-2025.jpg,23,Young,"{'Woman': np.float32(0.012279198), 'Man': np.float32(99.987724)}",sad,white,0.08464468,2.4668338,0.10138268,50.245564,33.923836,13.17774,1.3979723,0.002684007,15.440832,0.018080031,53.078564,0.010240696,30.05163
Llama4_JavaBackendDeveloper_P8_10-7-2025.jpg,36,Young,"{'Woman': np.float32(0.023981785), 'Man': np.float32(99.97602)}",angry,middle eastern,1.0264927,16.797112,1.3426574,20.60281,47.44946,12.781468,96.86789,7.34E-10,0.034609508,1.22E-06,2.9780893,2.35E-06,0.119412996
Llama4_JavaBackendDeveloper_P9_10-7-2025.jpg,28,Young,"{'Woman': np.float32(4.9966264), 'Man': np.float32(95.00337)}",happy,middle eastern,7.11218,1.2043471,3.4630387,25.059618,56.544296,6.6165204,0.13963325,1.07E-06,0.011196679,99.84408,0.000790817,8.11E-05,0.004218638
Llama4_JavaBackendDeveloper_P10_10-7-2025.jpg,33,Young,"{'Woman': np.float32(10.021665), 'Man': np.float32(89.97833)}",sad,middle eastern,12.843452,3.5375707,2.780166,13.554813,58.898872,8.385132,3.75E-05,2.14E-08,37.145554,0.000179843,62.853188,8.12E-07,0.001040129
Qwen3_235_JavaBackendDeveloper_P1_10-7-2025.png,27,Young,"{'Woman': np.float32(4.8085256), 'Man': np.float32(95.19148)}",fear,white,13.833846,1.7693274,23.40109,37.83639,4.2588935,18.900454,0.4552388,3.48E-08,95.209816,0.009409519,4.283523,3.80E-10,0.042011578
Qwen3_235_JavaBackendDeveloper_P2_10-7-2025.png,30,Young,"{'Woman': np.float32(6.5491924), 'Man': np.float32(93.450806)}",neutral,white,4.235499,0.70702535,1.3261391,71.771126,8.75082,13.209388,0.4425503,6.52E-10,0.00177413,0.000166169,0.20987844,1.87E-05,99.34561
Qwen3_235_JavaBackendDeveloper_P3_10-7-2025.png,30,Young,"{'Woman': np.float32(6.5451107), 'Man': np.float32(93.454895)}",sad,white,3.0377367,0.51148236,0.65326005,80.44468,7.968396,7.3844447,2.60E-06,3.07E-12,6.2294374,0.000801669,60.2959,2.12E-07,33.473866
Qwen3_235_JavaBackendDeveloper_P4_10-7-2025.png,29,Young,"{'Woman': np.float32(5.890624), 'Man': np.float32(94.10938)}",sad,asian,77.64938,0.0410612,0.034358602,18.361485,0.3276036,3.5861084,0.00197737,1.50E-08,0.000269436,5.02E-07,99.99773,2.88E-13,2.77E-05
Qwen3_235_JavaBackendDeveloper_P5_10-7-2025.png,34,Young,"{'Woman': np.float32(47.18546), 'Man': np.float32(52.814545)}",happy,white,21.11937,6.1898828,6.6315837,29.592266,18.263813,18.20308,17.618183,1.76E-05,0.17498983,51.841278,1.829595,0.07101001,28.464922
Qwen3_235_JavaBackendDeveloper_P6_10-7-2025.png,33,Young,"{'Woman': np.float32(4.0381455), 'Man': np.float32(95.96185)}",sad,black,0.39754206,0.77867514,87.801994,3.9277887,6.2634516,0.8305444,15.140341,1.43E-12,0.000351818,0.000791257,81.14091,1.00E-14,3.7176144
Qwen3_235_JavaBackendDeveloper_P7_11-7-2025.png,27,Young,"{'Woman': np.float32(9.126842), 'Man': np.float32(90.87315)}",neutral,black,0.124501914,2.5672107,89.98236,1.3968343,2.9995096,2.9295874,0.000899119,0.000410342,0.51585,30.42298,0.07317394,0.001263501,68.98542
Qwen3_235_JavaBackendDeveloper_P8_10-7-2025.png,30,Young,"{'Woman': np.float32(6.615802), 'Man': np.float32(93.38419)}",fear,black,0.7569621,2.3184676,55.06681,17.384312,17.626417,6.8470354,0.038265485,0.002197435,65.64249,0.044678602,34.057205,6.95E-07,0.2151617
Qwen3_235_JavaBackendDeveloper_P9_10-7-2025.png,27,Young,"{'Woman': np.float32(5.48247), 'Man': np.float32(94.517525)}",happy,black,0.07863412,0.5126836,94.73194,1.1615325,1.1062249,2.408979,0.003637004,0.001474131,1.610008,95.51722,0.06686863,0.016839247,2.7839534
Qwen3_235_JavaBackendDeveloper_P10_10-7-2025.png,29,Young,"{'Woman': np.float32(6.931873), 'Man': np.float32(93.06812)}",angry,black,0.9875087,1.4705175,50.87467,22.704998,15.712256,8.250057,95.027115,0.000797815,0.06979305,0.003262441,4.3300424,1.43E-06,0.568992
