Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-Javascript Frontend Developer_P1_15-7-2025 (1).png,27,Young,"{'Woman': np.float32(6.7587156e-05), 'Man': np.float32(99.99993)}",happy,black,0.002241011,0.009552663,99.96405,3.80E-05,5.77E-05,0.024060668,0.000231724,1.83E-06,0.011015395,93.15574,0.008646362,0.77294827,6.0514197
GPT4o-Javascript Frontend Developer_P2_15-7-2025 (1).png,29,Young,"{'Woman': np.float32(0.0005315083), 'Man': np.float32(99.999466)}",happy,black,0.74881387,1.0886666,95.7869,0.030143974,0.023584649,2.321891,3.26E-07,2.84E-11,1.52E-07,99.80806,6.63E-06,0.000776188,0.19115862
GPT4o-Javascript Frontend Developer_P3_15-7-2025 (1).png,40,Middle-aged,"{'Woman': np.float32(0.001931542), 'Man': np.float32(99.99807)}",sad,middle eastern,0.718296,20.578884,0.57822007,14.52219,45.67211,17.930311,1.3897336,1.70E-05,3.1272802,2.80E-08,95.40298,0.003123029,0.0768707
GPT4o-Javascript Frontend Developer_P4_15-7-2025 (1).png,37,Young,"{'Woman': np.float32(0.0045322254), 'Man': np.float32(99.99547)}",fear,white,0.003877092,0.10229674,0.000827131,78.42488,17.090832,4.3772807,18.344543,0.1593134,61.983574,0.009133857,5.306964,4.4174304,9.779046
GPT4o-Javascript Frontend Developer_P5_15-7-2025 (1).png,40,Middle-aged,"{'Woman': np.float32(0.0022885783), 'Man': np.float32(99.99771)}",angry,white,3.69E-09,5.16E-08,3.27E-11,99.991806,0.005777475,0.002419799,94.236824,0.009186851,0.35777318,0.000458209,5.185793,0.011826655,0.19813779
GPT4o-Javascript Frontend Developer_P6_15-7-2025 (2).png,26,Young,"{'Woman': np.float32(0.0013652655), 'Man': np.float32(99.99863)}",happy,black,9.211123,3.1633744,79.42082,0.2965087,0.22303183,7.6851454,5.04E-05,6.84E-07,5.68E-05,94.59548,0.001476433,0.00718541,5.3957405
GPT4o-Javascript Frontend Developer_P7_15-7-2025 (1).png,36,Young,"{'Woman': np.float32(0.0004511097), 'Man': np.float32(99.99955)}",sad,white,0.039167758,0.3765703,0.004020362,66.85492,16.52863,16.1967,0.04273863,1.17E-07,15.733179,0.000884819,81.92079,5.52E-05,2.3023558
GPT4o-Javascript Frontend Developer_P8_15-7-2025 (1).png,32,Young,"{'Woman': np.float32(0.00023194498), 'Man': np.float32(99.99977)}",neutral,white,0.12051715,1.4789739,0.09983416,55.53231,29.756,13.012366,1.3841863,1.26E-09,0.04081056,31.882696,0.42771524,0.000179207,66.26442
GPT4o-Javascript Frontend Developer_P9_15-7-2025 (1).png,46,Middle-aged,"{'Woman': np.float32(0.0043486753), 'Man': np.float32(99.99565)}",neutral,white,0.000386541,0.008155949,4.06E-05,95.27373,3.067753,1.6499324,34.065945,0.000520193,1.9667623,4.00E-06,17.173292,0.000283371,46.79319
GPT4o-Javascript Frontend Developer_P10_15-7-2025 (1).png,29,Young,"{'Woman': np.float32(95.66364), 'Man': np.float32(4.3363605)}",happy,white,3.08E-06,7.95E-07,1.97E-09,99.95653,0.02003353,0.023431847,7.76E-08,1.12E-13,5.74E-09,99.99838,1.47E-10,0.000111336,0.001513545
Llama4-Javasceipt Frontend Developer_P1_15-7-2025 (1).jpg,26,Young,"{'Woman': np.float32(2.8550232e-05), 'Man': np.float32(99.99998)}",neutral,white,0.000822656,0.007115678,0.000221263,93.50654,3.8337522,2.6515489,0.39060786,2.78E-09,0.010325716,6.81E-05,1.4657927,0.000724525,98.132484
Llama4-Javasceipt Frontend Developer_P2_15-7-2025 (1).jpg,25,Young,"{'Woman': np.float32(0.012070567), 'Man': np.float32(99.98792)}",neutral,middle eastern,0.03481907,1.3779801,0.010457402,40.143375,52.335186,6.098179,22.857819,8.55E-05,0.067000665,0.006045714,22.291819,2.11E-05,54.77721
Llama4-Javasceipt Frontend Developer_P3_15-7-2025 (1).jpg,30,Young,"{'Woman': np.float32(0.0035896646), 'Man': np.float32(99.996414)}",neutral,white,0.000284536,0.004180159,0.000172653,93.4673,3.3970673,3.1309977,3.8805902,9.36E-06,6.9036283,0.00143446,36.91708,0.002197619,52.295067
