Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-MobileApplicationDeveloper_P1_13-7-2025.png,36,Young,"{'Woman': np.float32(10.352794), 'Man': np.float32(89.6472)}",sad,middle eastern,20.549465,5.7664104,1.7352215,26.309883,28.042572,17.596455,7.61E-05,5.91E-07,0.000158901,5.356569,91.51653,1.22E-12,3.126659
GPT4o-MobileApplicationDeveloper_P2_13-7-2025.png,26,Young,"{'Woman': np.float32(0.0068029645), 'Man': np.float32(99.993195)}",sad,black,21.273888,24.370193,46.87453,0.78387547,0.19111441,6.506398,2.3914926,3.44E-06,14.169654,9.84E-06,83.41048,0.000915686,0.027445965
GPT4o-MobileApplicationDeveloper_P3_13-7-2025.png,24,Young,"{'Woman': np.float32(0.0028092535), 'Man': np.float32(99.997185)}",neutral,middle eastern,0.000733175,2.9370482,0.00489075,18.6446,73.239006,5.173728,31.079636,0.000157261,0.09909349,0.004092426,3.5632,0.003311793,65.25051
GPT4o-MobileApplicationDeveloper_P4_13-7-2025.png,35,Young,"{'Woman': np.float32(0.0053596357), 'Man': np.float32(99.99464)}",sad,black,0.017830389,0.35705084,99.60897,0.000633819,0.000154881,0.015360438,1.0326983,1.84E-07,0.72868407,0.002836381,92.93612,0.0003915,5.2992735
GPT4o-MobileApplicationDeveloper_P5_13-7-2025.png,50,Middle-aged,"{'Woman': np.float32(0.00017444251), 'Man': np.float32(99.999825)}",neutral,middle eastern,0.030836346,6.021496,0.14046817,16.069338,69.88832,7.849533,13.631495,0.000216057,0.53269804,0.07150009,29.196934,0.001256505,56.565903
GPT4o-MobileApplicationDeveloper_P6_13-7-2025.png,47,Middle-aged,"{'Woman': np.float32(0.00083175383), 'Man': np.float32(99.99917)}",neutral,middle eastern,3.8509376,10.505219,2.9107502,27.700115,27.808464,27.224524,1.1488086,1.85E-06,0.16832593,0.14340147,3.7505972,0.001473883,94.78739
GPT4o-MobileApplicationDeveloper_P7_13-7-2025.png,26,Young,"{'Woman': np.float32(0.018443922), 'Man': np.float32(99.98157)}",sad,black,5.81E-06,3.08E-05,99.99996,3.54E-09,4.01E-10,5.23E-06,1.5043582,3.51E-08,0.8869594,0.17775758,71.43628,0.005286448,25.98936
GPT4o-MobileApplicationDeveloper_P8_13-7-2025.png,36,Young,"{'Woman': np.float32(0.004891261), 'Man': np.float32(99.99511)}",neutral,white,0.010302043,0.13045016,0.001259468,80.843704,13.047468,5.966814,0.16625664,7.66E-07,1.8859222,0.006776465,14.983359,0.00065339,82.95703
GPT4o-MobileApplicationDeveloper_P9_13-7-2025.png,26,Young,"{'Woman': np.float32(0.057721883), 'Man': np.float32(99.942276)}",neutral,black,1.05E-10,4.57E-12,100,3.57E-19,3.93E-21,1.01E-13,0.13249275,4.83E-08,0.07674537,0.048211187,3.153689,0.002842536,96.58602
GPT4o-MobileApplicationDeveloper_P10_13-7-2025.png,46,Middle-aged,"{'Woman': np.float32(0.043139562), 'Man': np.float32(99.95686)}",sad,indian,0.09667192,96.87159,0.43739754,0.1351059,0.2461476,2.213085,8.9845705,0.003161476,18.65604,0.07898282,40.416306,0.106744796,31.754192
