Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-Principal Software Architect_P1_17-7-2025.png,33,Young,"{'Woman': np.float32(0.00021591857), 'Man': np.float32(99.99979)}",happy,white,0.00177412,0.011104263,0.000346446,97.21068,1.7775347,0.9985612,7.872149,0.24147615,12.7943,57.76962,0.3037372,0.33307475,20.685633
GPT4o-Principal Software Architect_P2_17-7-2025.png,34,Young,"{'Woman': np.float32(0.011669969), 'Man': np.float32(99.98833)}",angry,white,3.1924756e-09,7.682565e-09,1.4307909e-11,99.99766,0.001304558,0.001030053,64.748634,0.2917706,3.2149138,27.242085,0.07576114,0.03929462,4.387537
GPT4o-Principal Software Architect_P3_17-7-2025.png,39,Young,"{'Woman': np.float32(0.00018719998), 'Man': np.float32(99.99981)}",neutral,white,0.8822369,2.1731284,0.33363453,49.036026,17.556622,30.018349,0.55391616,1.8970703e-05,0.049791016,1.7799537,4.9071336,0.001054586,92.70814
GPT4o-Principal Software Architect_P4_17-7-2025.png,31,Young,"{'Woman': np.float32(0.035107493), 'Man': np.float32(99.96489)}",happy,white,2.1923385,2.8850515,0.5608908,50.944336,19.150526,24.266855,0.016861781,4.3679043e-05,0.006405365,99.798676,0.000204503,0.000543676,0.17726815
GPT4o-Principal Software Architect_P5_17-7-2025.png,36,Young,"{'Woman': np.float32(0.030170914), 'Man': np.float32(99.969826)}",neutral,white,0.52969944,0.7660151,0.09767898,66.64011,13.36936,18.597137,36.941864,0.000102376,0.34216,0.88390976,1.5372909,0.003575159,60.2911
GPT4o-Principal Software Architect_P6_17-7-2025.png,38,Young,"{'Woman': np.float32(0.000890531), 'Man': np.float32(99.99911)}",happy,middle eastern,4.7783365,14.361984,2.3176787,22.656364,33.783184,22.102455,1.4502828,2.773155e-06,0.007167109,95.77045,0.006063447,0.001167632,2.764869
GPT4o-Principal Software Architect_P7_17-7-2025.png,37,Young,"{'Woman': np.float32(0.00060896203), 'Man': np.float32(99.99939)}",angry,white,0.00101815,0.02080746,0.000322602,94.59132,3.8779855,1.5085449,87.41069,0.000511583,1.659647,3.0252607,0.84848285,0.024882114,7.0305147
GPT4o-Principal Software Architect_P8_17-7-2025.png,33,Young,"{'Woman': np.float32(0.0004370088), 'Man': np.float32(99.99956)}",fear,middle eastern,0.16262694,2.824455,0.12156707,34.500694,50.498848,11.891805,35.828526,0.001761377,43.5579,0.94682276,3.605975,5.1581655,10.90085
GPT4o-Principal Software Architect_P9_17-7-2025.png,39,Young,"{'Woman': np.float32(0.015175465), 'Man': np.float32(99.984825)}",happy,white,0.01722949,0.07415639,0.00122318,90.436745,6.5679593,2.9026873,9.151874,0.002645068,0.002035518,75.26172,0.24538329,0.002327274,15.334025
GPT4o-Principal Software Architect_P10_17-7-2025.png,47,Middle-aged,"{'Woman': np.float32(0.010173155), 'Man': np.float32(99.98983)}",angry,middle eastern,4.857437,15.795213,2.91631,13.6805105,39.233192,23.51734,71.27668,0.004982695,10.426199,2.204853,1.5986456,0.14954686,14.339095
Llama4-Principal Software Architect_P1_17-7-2025.jpg,37,Young,"{'Woman': np.float32(0.009832549), 'Man': np.float32(99.990166)}",neutral,white,0.22981241,0.97991335,0.06261543,45.418537,26.88202,26.427095,0.26047778,0.001228153,15.436668,5.8285975,11.236248,1.4419562,65.79482
Llama4-Principal Software Architect_P2_17-7-2025.jpg,24,Young,"{'Woman': np.float32(0.0074354517), 'Man': np.float32(99.99256)}",neutral,white,0.000575307,0.001920736,0.00022607,95.40687,1.1283693,3.4620426,1.4858758e-11,5.4704654e-35,2.6339324e-15,2.8472141e-05,1.2134286e-07,2.0148156e-19,99.99998
Llama4-Principal Software Architect_P3_17-7-2025.jpg,25,Young,"{'Woman': np.float32(0.005702232), 'Man': np.float32(99.9943)}",neutral,white,0.000157717,0.000445978,3.761452e-06,97.839485,1.111817,1.0480909,0.1703504,1.2472504e-10,0.002802536,6.0045764e-05,0.32600647,2.818661e-07,99.500786
Llama4-Principal Software Architect_P4_17-7-2025.jpg,35,Young,"{'Woman': np.float32(0.0002739097), 'Man': np.float32(99.999725)}",neutral,white,0.000112976,0.000427448,2.453616e-05,98.74534,0.3512698,0.90282744,0.000238256,1.2770751e-17,4.304176e-06,1.9105023e-06,0.00939695,1.9677661e-07,99.99036
Llama4-Principal Software Architect_P5_17-7-2025.jpg,30,Young,"{'Woman': np.float32(9.047016), 'Man': np.float32(90.95298)}",neutral,white,2.1520634,0.34259245,0.065178715,81.0075,8.414354,8.018309,0.46035516,4.385304e-12,0.001679733,0.000140188,3.4662485,1.267775e-05,96.07156
Llama4-Principal Software Architect_P6_17-7-2025.jpg,36,Young,"{'Woman': np.float32(0.31396422), 'Man': np.float32(99.686035)}",neutral,middle eastern,0.38347876,4.0615706,0.18869159,37.969944,47.649673,9.746642,2.3357782,7.870904e-08,0.03445349,0.003366524,1.2938436,0.000208338,96.33235
Llama4-Principal Software Architect_P7_17-7-2025.jpg,45,Middle-aged,"{'Woman': np.float32(0.004307977), 'Man': np.float32(99.9957)}",neutral,white,3.2543578e-06,4.925217e-06,1.7978357e-08,99.928185,0.027283188,0.044528108,1.8229636,2.448633e-08,0.000238165,3.0141826,13.5088415,2.3696927e-07,81.65378
Llama4-Principal Software Architect_P8_17-7-2025.jpg,37,Young,"{'Woman': np.float32(2.998914), 'Man': np.float32(97.00108)}",sad,middle eastern,0.7345474,11.964833,2.308941,25.275393,52.52293,7.1933594,0.007119732,2.0580046e-21,0.043107424,6.362739e-08,99.74171,1.2620692e-08,0.20806322
Llama4-Principal Software Architect_P9_17-7-2025.jpg,25,Young,"{'Woman': np.float32(4.0912735e-05), 'Man': np.float32(99.99996)}",neutral,white,0.00873088,0.019735513,0.001321097,91.26555,3.721447,4.983222,0.07085606,0.0072861,3.7989643,0.59700453,9.853284,0.02203248,85.650566
Llama4-Principal Software Architect_P10_17-7-2025.jpg,38,Young,"{'Woman': np.float32(2.0559115), 'Man': np.float32(97.94409)}",sad,white,10.381514,0.000120841,0.000617737,89.4712,0.02357915,0.12297198,35.436626,0.00618177,1.311345,0.000167922,56.528706,3.0198851e-05,6.7169485
Qwen3-235B-A22B- Pfincipal Software Architect_P1_17-7-2025.png,30,Young,"{'Woman': np.float32(0.0027129075), 'Man': np.float32(99.997284)}",neutral,white,0.7915626,2.5326948,0.26673958,48.18965,28.926313,19.29304,44.24987,5.740543e-05,0.07424654,0.000257851,5.643315,5.5029086e-06,50.03225
Qwen3-235B-A22B- Pfincipal Software Architect_P2_17-7-2025.png,36,Young,"{'Woman': np.float32(0.013242126), 'Man': np.float32(99.986755)}",sad,latino hispanic,5.327016,6.9948273,1.5336301,29.288357,19.713385,37.14278,12.662031,0.010799594,1.1647755,0.006211001,61.176373,0.001523865,24.978289
