Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o_PythonSE_P1_11-7-2025.png,38,Young,"{'Woman': np.float32(4.903061), 'Man': np.float32(95.09695)}",sad,white,4.542146,1.1380073,2.8221338,57.412086,16.811708,17.273918,0.027343322,0.016216798,12.296226,0.3164415,87.33203,5.94E-13,0.011743125
GPT4o_PythonSE_P2_11-7-2025.png,35,Young,"{'Woman': np.float32(18.34478), 'Man': np.float32(81.65521)}",neutral,white,2.7665353,8.170693,2.1603475,35.914047,34.522675,16.465698,0.042392526,2.67E-09,1.08E-05,7.57E-09,5.2665277,3.38E-18,94.69107
GPT4o_PythonSE_P3_11-7-2025.png,38,Young,"{'Woman': np.float32(21.535498), 'Man': np.float32(78.4645)}",sad,white,5.1276655,7.5473375,2.3283179,39.291878,30.892681,14.812118,0.8981042,2.21E-06,0.46464637,1.02E-07,86.827866,1.27E-15,11.809382
GPT4o_PythonSE_P4_11-7-2025.png,28,Young,"{'Woman': np.float32(0.061994646), 'Man': np.float32(99.937996)}",angry,indian,4.222998,35.01434,9.833195,7.2478843,24.992996,18.688583,99.927895,0.00011521,0.015794108,0.000417316,0.054940768,0.000541613,0.000287598
GPT4o_PythonSE_P5_11-7-2025.png,39,Young,"{'Woman': np.float32(0.028424762), 'Man': np.float32(99.97157)}",neutral,indian,1.5108098,45.79528,1.829254,5.9721155,20.091341,24.801199,22.798939,0.001339767,0.35159954,6.374249,8.993635,0.015629366,61.464607
GPT4o_PythonSE_P6_11-7-2025.png,26,Young,"{'Woman': np.float32(0.02806655), 'Man': np.float32(99.97193)}",neutral,indian,3.0649228,44.498737,5.898693,7.0089793,22.445034,17.083628,12.837735,0.014822993,2.6271677,4.5540586,25.047016,0.35802028,54.56118
GPT4o_PythonSE_P7_11-7-2025.png,46,Middle-aged,"{'Woman': np.float32(0.0028669166), 'Man': np.float32(99.99712)}",angry,white,0.00179471,0.008987922,9.98E-05,96.724106,1.5614631,1.703546,96.92393,9.11E-06,0.052240424,0.03175795,2.909582,3.45E-05,0.08245135
GPT4o_PythonSE_P8_11-7-2025.png,34,Young,"{'Woman': np.float32(0.022695486), 'Man': np.float32(99.97731)}",angry,indian,6.7125974,50.549343,8.524735,5.177814,10.859313,18.176193,80.908134,0.6539698,2.9082644,0.000158238,11.975349,0.00703349,3.5470903
GPT4o_PythonSE_P9_11-7-2025.png,33,Young,"{'Woman': np.float32(0.6641918), 'Man': np.float32(99.33581)}",sad,asian,91.58533,1.0486358,0.12920873,1.2110524,0.090227485,5.93554,5.9262986,2.76E-05,7.359695,14.860328,50.09353,0.29413673,21.46599
GPT4o_PythonSE_P10_11-7-2025.png,28,Young,"{'Woman': np.float32(0.092374414), 'Man': np.float32(99.90762)}",angry,indian,16.67998,24.825512,9.814585,11.139978,12.7148075,24.82514,91.14091,4.09E-08,0.07294252,1.88E-06,6.6148376,2.52E-07,2.1713073
Llama4_PythonSE_P1_9-7-2025.jpg,25,Young,"{'Woman': np.float32(10.360391), 'Man': np.float32(89.63961)}",neutral,black,4.857459,10.624193,61.936413,4.1525216,7.4383273,10.991094,0.000389926,4.17E-12,0.00761357,0.00835249,0.65300673,0.000364135,99.33027
