Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-remoteSE_P1_12-7-2025.png,25,Young,"{'Woman': np.float32(7.844839), 'Man': np.float32(92.15517)}",fear,white,0.04412507,0.015639449,0.000740269,86.74113,11.176197,2.0221713,13.112312,0.011132845,34.8823,32.788734,16.914295,0.037487485,2.253738
GPT4o-remoteSE_P2_12-7-2025.png,26,Young,"{'Woman': np.float32(13.777865), 'Man': np.float32(86.22213)}",sad,middle eastern,1.3116286,7.9010763,4.168582,21.369814,47.56165,17.687246,0.15594618,9.701828e-06,0.42458838,0.004571172,99.41489,3.0651827e-15,3.3775418e-06
GPT4o-remoteSE_P3_12-7-2025.png,41,Middle-aged,"{'Woman': np.float32(33.383762), 'Man': np.float32(66.616234)}",fear,black,9.545249,7.918226,33.148808,13.578431,17.140507,18.668777,0.4832117,1.502438e-07,99.0891,0.35351866,0.07383574,1.7943562e-07,0.000333384
GPT4o-remoteSE_P4_12-7-2025.png,34,Young,"{'Woman': np.float32(0.00048687338), 'Man': np.float32(99.99951)}",neutral,white,9.246837e-06,0.000579831,1.4234519e-06,98.865555,0.633752,0.50009537,0.07223133,1.7100656e-10,1.3986406,1.9299434e-05,9.799958,0.001252416,88.7279
GPT4o-remoteSE_P5_12-7-2025.png,33,Young,"{'Woman': np.float32(0.0011824225), 'Man': np.float32(99.99882)}",neutral,white,0.000976122,0.01602968,0.000188669,94.482445,3.286139,2.2142222,1.05301,1.0323212e-08,0.003263941,0.006577867,4.314625,3.5270062e-08,94.62252
GPT4o-remoteSE_P6_12-7-2025.png,43,Middle-aged,"{'Woman': np.float32(0.00047780995), 'Man': np.float32(99.99953)}",angry,white,0.027497487,0.15227874,0.001699023,87.33432,8.659032,3.8251798,46.98291,0.029492,39.983006,0.009463594,10.70788,0.000339531,2.2869024
GPT4o-remoteSE_P7_12-7-2025.png,36,Young,"{'Woman': np.float32(0.02607907), 'Man': np.float32(99.97392)}",sad,white,0.012632188,0.066037774,0.002261539,94.23145,4.039071,1.6485413,2.3753443,4.5698366e-06,0.13373686,0.000883931,59.842354,0.000185884,37.64749
GPT4o-remoteSE_P8_12-7-2025.png,36,Young,"{'Woman': np.float32(0.02907274), 'Man': np.float32(99.97092)}",fear,middle eastern,0.025717618,4.030543,0.037684243,26.361105,62.716125,6.8288193,1.4131923,0.000111213,47.890377,8.2912857e-07,38.355896,12.219257,0.12117212
GPT4o-remoteSE_P9_12-7-2025.png,26,Young,"{'Woman': np.float32(0.015041357), 'Man': np.float32(99.984955)}",sad,indian,1.1844634,57.851627,26.304068,1.2078024,1.3219914,12.130047,3.9338443,0.05419125,0.3028703,0.000177457,95.66238,2.6912505e-06,0.04653858
GPT4o-remoteSE_P10_12-7-2025.png,26,Young,"{'Woman': np.float32(0.031156257), 'Man': np.float32(99.96885)}",sad,indian,11.550862,43.085754,25.50779,2.406025,1.8843615,15.565219,6.3772297,0.0590564,5.973102,0.001085702,86.102646,0.016927157,1.4699587
