Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SE in Arabic_P1_19-7-2025.png,33,Young,"{'Woman': np.float32(0.00095196103), 'Man': np.float32(99.99905)}",neutral,middle eastern,0.010907142,41.92106,0.077092804,1.7450173,51.50038,4.7455425,0.008512422,3.1280604e-06,0.26039433,0.43614373,0.44181585,0.006281014,98.84685
GPT4o-SE in Arabic_P2_19-7-2025.png,34,Young,"{'Woman': np.float32(0.0026399856), 'Man': np.float32(99.99737)}",neutral,middle eastern,0.6871814,7.961121,0.62514627,22.506792,44.052944,24.166815,0.027133787,0.000225266,0.4979752,48.421497,0.44128215,0.065031014,50.546856
GPT4o-SE in Arabic_P3_19-7-2025.png,41,Middle-aged,"{'Woman': np.float32(0.00037009266), 'Man': np.float32(99.99963)}",neutral,middle eastern,1.5624219,12.796002,1.3488393,20.034578,39.3042,24.953959,0.002371273,1.4331699e-05,0.3874659,23.968082,0.080714904,0.04424065,75.51711
GPT4o-SE in Arabic_P4_19-7-2025.png,35,Young,"{'Woman': np.float32(0.00265097), 'Man': np.float32(99.99735)}",happy,white,1.544119,6.9030566,0.56190205,33.554356,32.779636,24.656927,0.001585824,0.000698307,0.55270624,83.108604,0.20146248,0.13877453,15.996166
GPT4o-SE in Arabic_P5_19-7-2025.png,37,Young,"{'Woman': np.float32(0.0009776823), 'Man': np.float32(99.99902)}",happy,middle eastern,0.4875454,16.822416,0.675171,12.970784,54.015457,15.028631,0.000803294,1.6722263e-08,0.17437178,73.34633,0.067943156,0.043180667,26.367367
GPT4o-SE in Arabic_P6_19-7-2025.png,31,Young,"{'Woman': np.float32(99.74139), 'Man': np.float32(0.2586046)}",happy,latino hispanic,14.2688675,14.73008,2.8123422,15.380859,13.748179,39.059673,0.04400694,0.000156562,10.570848,85.60026,0.43818176,0.417061,2.9294899
GPT4o-SE in Arabic_P7_19-7-2025.png,34,Young,"{'Woman': np.float32(0.0022420315), 'Man': np.float32(99.99776)}",neutral,middle eastern,0.12896326,7.366633,0.094621785,10.245165,69.66448,12.500136,0.6572665,0.005068725,28.884605,0.002170336,25.125513,0.00039787,45.324974
GPT4o-SE in Arabic_P8_19-7-2025.png,39,Young,"{'Woman': np.float32(0.0041027665), 'Man': np.float32(99.995895)}",neutral,middle eastern,5.4293084,24.037277,3.514067,11.646184,31.341715,24.031439,0.019038934,1.3763683e-06,0.3392082,4.358052,1.9168204,0.092233725,93.27465
GPT4o-SE in Arabic_P9_19-7-2025.png,33,Young,"{'Woman': np.float32(0.00060020294), 'Man': np.float32(99.999405)}",fear,middle eastern,1.5332204,13.461236,1.7440624,18.338285,47.413933,17.509268,1.7834173,0.011636109,69.977806,0.030867558,9.692689,0.10255495,18.40103
GPT4o-SE in Arabic_P10_19-7-2025.png,37,Young,"{'Woman': np.float32(0.017926592), 'Man': np.float32(99.98208)}",fear,white,1.0323584,7.6398687,0.33205724,36.823402,32.5605,21.611807,0.09329257,1.3467228e-06,82.83733,2.0469151e-05,9.692109,0.7498989,6.6273437
