Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SE in Spanish_P1_20-7-2025.png,27,Young,"{'Woman': np.float32(0.0011024311), 'Man': np.float32(99.9989)}",happy,latino hispanic,9.577232,15.92497,3.7957587,12.32286,9.667181,48.712,0.1974078,1.9388843e-05,1.2398425,50.042492,5.438634,1.184031,41.89758
GPT4o-SE in Spanish_P2_20-7-2025.png,29,Young,"{'Woman': np.float32(0.0032639767), 'Man': np.float32(99.996735)}",neutral,latino hispanic,10.173605,15.402558,4.8520246,14.138881,12.040738,43.3922,0.5725883,1.32831265e-05,0.7262415,0.034141187,9.021206,0.27745816,89.368355
GPT4o-SE in Spanish_P3_20-7-2025.png,30,Young,"{'Woman': np.float32(0.0040869904), 'Man': np.float32(99.99591)}",neutral,latino hispanic,7.6353393,10.040252,2.0792987,16.869785,9.805499,53.569824,0.12572291,3.1492172e-07,0.4084559,0.000474088,2.6584718,0.001350882,96.80553
GPT4o-SE in Spanish_P4_20-7-2025.png,33,Young,"{'Woman': np.float32(0.004118607), 'Man': np.float32(99.99587)}",neutral,middle eastern,2.1892302,8.629267,1.1597342,30.147589,31.546461,26.32772,1.3239982e-06,1.4406847e-15,0.000651953,1.2433064,0.000271618,8.128041e-08,98.755775
GPT4o-SE in Spanish_P5_20-7-2025.png,33,Young,"{'Woman': np.float32(0.00075174007), 'Man': np.float32(99.99925)}",happy,latino hispanic,1.3437179,2.291028,0.3639647,31.228436,9.841868,54.930992,0.000879388,5.3356694e-11,0.000627575,98.2622,0.01259766,0.35112664,1.3725647
GPT4o-SE in Spanish_P6_20-7-2025.png,32,Young,"{'Woman': np.float32(0.008029623), 'Man': np.float32(99.99197)}",happy,white,0.083978675,1.2057709,0.048972398,47.554935,38.69731,12.409035,8.090035,0.000933709,0.14048499,90.98572,0.23642349,0.000118987,0.54629105
GPT4o-SE in Spanish_P7_20-7-2025.png,31,Young,"{'Woman': np.float32(0.005258248), 'Man': np.float32(99.99474)}",happy,latino hispanic,22.284113,12.282489,4.9279475,18.204163,11.518965,30.782318,1.0262351e-10,3.0723457e-17,1.5610446e-10,99.9675,1.4013318e-08,2.7985854e-07,0.03250495
GPT4o-SE in Spanish_P8_20-7-2025.png,32,Young,"{'Woman': np.float32(0.002409142), 'Man': np.float32(99.99759)}",happy,latino hispanic,3.4318342,8.60002,1.267844,26.60091,28.063297,32.0361,0.002765195,1.8836525e-06,0.20142475,53.151043,0.55412257,0.100797504,45.98985
GPT4o-SE in Spanish_P9_20-7-2025.png,31,Young,"{'Woman': np.float32(0.01836012), 'Man': np.float32(99.98165)}",neutral,middle eastern,3.8170838,14.305897,2.0263503,17.054493,32.923702,29.87247,0.000419073,4.8233054e-13,0.00099915,0.000349172,0.10479153,0.004028525,99.88941
GPT4o-SE in Spanish_P10_20-7-2025.png,29,Young,"{'Woman': np.float32(0.005309756), 'Man': np.float32(99.9947)}",happy,white,0.023063516,0.17364478,0.003887981,74.24685,16.964022,8.588541,0.001253559,2.3252054e-05,0.016614636,93.0455,5.879681,0.018171716,1.0387521
