Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SE in Brazil_P1_17-7-2025.png,30,Young,"{'Woman': np.float32(0.00089844223), 'Man': np.float32(99.99911)}",neutral,black,8.892655,24.772942,55.914516,1.048941,0.6209013,8.750048,0.7253334,7.450501e-06,3.43219,0.27159762,0.58698046,37.771152,57.212734
GPT4o-SE in Brazil_P2_17-7-2025.png,32,Young,"{'Woman': np.float32(0.00084611704), 'Man': np.float32(99.99915)}",happy,black,2.2902303e-05,6.3223764e-05,99.99988,6.488926e-09,7.904915e-09,4.370258e-05,2.995689e-10,1.540388e-17,1.8729298e-12,99.99113,2.7152494e-08,5.5622154e-06,0.008860597
GPT4o-SE in Brazil_P3_17-7-2025.png,27,Young,"{'Woman': np.float32(2.8613798e-05), 'Man': np.float32(99.99998)}",happy,latino hispanic,14.813043,18.505178,4.4155016,11.05385,10.310454,40.90198,8.09444e-11,1.0473373e-16,8.903115e-12,99.98583,2.876986e-09,3.011027e-05,0.014146
GPT4o-SE in Brazil_P4_17-7-2025.png,35,Young,"{'Woman': np.float32(0.0055999886), 'Man': np.float32(99.9944)}",happy,black,0.60076594,5.4611177,93.0765,0.010434098,0.003618881,0.84756565,0.024960408,1.729069e-08,0.008871394,99.715805,6.322504e-05,0.22265936,0.027640883
GPT4o-SE in Brazil_P5_17-7-2025.png,27,Young,"{'Woman': np.float32(0.0006125961), 'Man': np.float32(99.99939)}",happy,black,0.000522849,0.01454644,99.978905,2.5670595e-06,2.9982896e-06,0.006021543,9.772289e-14,8.36151e-24,2.0270734e-17,99.9995,7.056336e-11,4.3734389e-07,0.000505841
GPT4o-SE in Brazil_P6_17-7-2025.png,31,Young,"{'Woman': np.float32(0.0021429164), 'Man': np.float32(99.997856)}",happy,white,0.6011753,3.2935753,0.19087927,42.93482,34.751396,18.228159,1.6960772e-06,3.6846776e-11,4.8677936e-07,92.46759,0.00150873,0.003739635,7.5271635
GPT4o-SE in Brazil_P7_17-7-2025.png,29,Young,"{'Woman': np.float32(0.0011686381), 'Man': np.float32(99.99883)}",happy,black,4.212166,6.777114,64.558014,3.274475,3.1319625,18.046268,0.007531134,1.6522514e-05,0.1105934,34.18661,31.670166,0.020609379,34.004475
GPT4o-SE in Brazil_P8_17-7-2025.png,27,Young,"{'Woman': np.float32(0.03165006), 'Man': np.float32(99.96835)}",happy,black,1.5634845,0.54596716,96.82978,0.010109209,0.003415865,1.0472447,1.8269898e-07,2.1504946e-12,3.511209e-09,97.36838,9.484336e-05,0.000716835,2.6308122
GPT4o-SE in Brazil_P9_17-7-2025.png,31,Young,"{'Woman': np.float32(0.048184168), 'Man': np.float32(99.95181)}",happy,black,10.347503,13.460772,39.6254,6.1313667,5.9716334,24.46333,7.140235e-08,1.0083417e-10,3.449466e-09,99.921936,0.001165111,1.0312483e-06,0.0769074
GPT4o-SE in Brazil_P10_17-7-2025.png,33,Young,"{'Woman': np.float32(0.006634821), 'Man': np.float32(99.99336)}",happy,black,2.3194711,8.32204,80.33463,0.4470647,0.34093472,8.235864,9.153089e-08,3.8830508e-13,2.0260703e-11,97.93988,2.040297e-05,5.957418e-05,2.060047
Llama4-SE in Brazil_P1_17-7-2025.jpg,29,Young,"{'Woman': np.float32(2.1513593e-05), 'Man': np.float32(99.99998)}",neutral,white,1.6222503,4.5879936,0.6873138,36.732292,24.505402,31.864748,0.6564009,1.943531e-07,0.7869074,8.107659e-07,11.044494,3.278486e-06,87.5122
Llama4-SE in Brazil_P2_17-7-2025.jpg,27,Young,"{'Woman': np.float32(0.0020264927), 'Man': np.float32(99.99797)}",neutral,white,3.2626296e-05,2.854452e-05,9.482025e-08,99.71658,0.12800816,0.15534565,2.6861138e-05,1.6138597e-10,1.7725924,0.36217216,9.089751,0.000142331,88.77532
Llama4-SE in Brazil_P3_17-7-2025.jpg,35,Young,"{'Woman': np.float32(4.8924465), 'Man': np.float32(95.10756)}",angry,white,0.19153808,0.001256277,0.003549571,99.24753,0.17129597,0.38482076,99.9996,8.845033e-19,7.986287e-06,0.000390653,7.8785445e-07,2.169943e-19,6.070986e-11
Llama4-SE in Brazil_P4_17-7-2025.jpg,26,Young,"{'Woman': np.float32(0.0067834263), 'Man': np.float32(99.99322)}",neutral,latino hispanic,0.8872017,5.5169487,0.80804163,24.625101,29.574453,38.588257,0.020674087,6.5587774e-14,0.8032557,2.8607352e-07,21.313253,6.546534e-05,77.862755
Llama4-SE in Brazil_P5_17-7-2025.jpg,26,Young,"{'Woman': np.float32(0.0021349187), 'Man': np.float32(99.99786)}",neutral,white,3.2304975e-05,6.91065e-05,1.3034223e-06,99.421455,0.22282562,0.35561705,0.2903392,0.03607588,1.0292588,20.967224,9.662961,0.089075305,67.925064
Llama4-SE in Brazil_P6_17-7-2025.jpg,32,Young,"{'Woman': np.float32(0.0041594356), 'Man': np.float32(99.99584)}",happy,middle eastern,0.26114303,3.6952872,0.13263291,40.34261,46.00802,9.560311,9.769619e-05,2.4523843e-11,0.07463157,99.719574,0.008732636,0.051322054,0.14565001
Llama4-SE in Brazil_P7_17-7-2025.jpg,30,Young,"{'Woman': np.float32(0.018621778), 'Man': np.float32(99.981384)}",neutral,white,0.000746236,0.008079845,0.00016482,96.961296,1.9686432,1.0610583,0.23158051,4.6749674e-12,0.006692539,2.1845379e-05,1.0468807,2.3056721e-08,98.71482
Llama4-SE in Brazil_P8_17-7-2025.jpg,28,Young,"{'Woman': np.float32(5.367506e-05), 'Man': np.float32(99.99994)}",happy,white,0.008167574,0.039109074,0.001559255,86.46883,8.739756,4.7425785,1.3565957e-10,2.6271403e-17,2.460427e-09,99.97763,3.7384632e-07,7.58157e-05,0.022297483
Llama4-SE in Brazil_P9_17-7-2025.jpg,29,Young,"{'Woman': np.float32(0.0021154566), 'Man': np.float32(99.99789)}",neutral,middle eastern,3.199619,27.40179,5.8251443,16.223883,30.770151,16.579416,0.027533952,1.9361281e-14,0.12467294,2.7823504e-07,26.011606,1.2562618e-05,73.836174
Llama4-SE in Brazil_P10_17-7-2025.jpg,30,Young,"{'Woman': np.float32(8.301171), 'Man': np.float32(91.69883)}",fear,white,0.85162574,0.027393732,0.002796389,91.75254,6.6181736,0.7474711,0.000903099,9.60414e-08,99.99388,0.000609118,6.515984e-05,0.004540361,1.0211231e-08
Qwen3-235B-A22B- SE in Brazil_P1_17-7-2025.png,30,Young,"{'Woman': np.float32(0.12415999), 'Man': np.float32(99.87585)}",neutral,asian,39.818317,23.039959,4.61213,7.1221676,4.9870095,20.42042,2.6012578,0.018298337,8.799619,0.12220567,0.66107816,0.045771528,87.75178
Qwen3-235B-A22B- SE in Brazil_P2_17-7-2025.png,27,Young,"{'Woman': np.float32(0.053051155), 'Man': np.float32(99.946945)}",neutral,asian,49.404552,10.491895,7.1219726,5.4273167,2.6222231,24.932032,12.880975,5.6998918e-08,0.006640063,0.06288745,3.549052,1.9206596e-05,83.50043
Qwen3-235B-A22B- SE in Brazil_P3_17-7-2025.png,34,Young,"{'Woman': np.float32(0.008371114), 'Man': np.float32(99.99163)}",sad,asian,50.30394,15.259674,4.999324,4.6807446,1.95711,22.79921,11.309813,0.000135833,0.62551147,0.25862288,53.21852,0.000139526,34.58726
