Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SEinGermany_P1_16-7-2025.png,43,Middle-aged,"{'Woman': np.float32(0.00025706814), 'Man': np.float32(99.99974)}",neutral,white,0.13096786,0.857666,0.045637738,62.69537,16.686205,19.58415,0.49603236,8.80E-09,0.35484943,4.90E-05,11.830277,2.04E-05,87.31877
GPT4o-SEinGermany_P2_16-7-2025.png,32,Young,"{'Woman': np.float32(3.6330668e-05), 'Man': np.float32(99.99996)}",neutral,white,0.09165121,1.4176614,0.088729754,47.882828,26.425264,24.093866,0.32600918,0.015905345,43.929684,3.6173756,2.3609407,0.15582135,49.594265
GPT4o-SEinGermany_P3_16-7-2025.png,36,Young,"{'Woman': np.float32(8.826029e-05), 'Man': np.float32(99.999916)}",neutral,white,0.019329386,0.07847904,0.002644712,81.67844,8.687213,9.533903,0.8051697,4.70E-08,0.3208871,1.14E-05,4.3755617,0.000649127,94.49772
GPT4o-SEinGermany_P4_16-7-2025.png,29,Young,"{'Woman': np.float32(2.6717578e-05), 'Man': np.float32(99.99998)}",happy,white,0.001346209,0.027962433,0.001171708,92.48943,4.7126565,2.7674236,0.5427507,0.001510685,0.0799962,77.15088,0.24198379,0.64629924,21.336578
GPT4o-SEinGermany_P5_16-7-2025.png,36,Young,"{'Woman': np.float32(0.0002754177), 'Man': np.float32(99.999725)}",happy,white,0.11132761,0.2608333,0.044105966,74.55883,11.615483,13.409424,0.026271569,7.61E-05,0.40814117,55.59244,0.14348735,0.29991284,43.52968
GPT4o-SEinGermany_P6_16-7-2025.png,30,Young,"{'Woman': np.float32(0.0017132503), 'Man': np.float32(99.99828)}",fear,white,4.52E-05,0.000368495,4.08E-06,98.44373,0.93612236,0.6197274,0.16210075,0.001553322,96.2241,3.5603266,0.008710317,0.000117014,0.04308563
GPT4o-SEinGermany_P7_16-7-2025.png,27,Young,"{'Woman': np.float32(0.0006460985), 'Man': np.float32(99.99936)}",neutral,white,0.000817391,0.001234997,4.37E-05,98.316895,0.8983129,0.78270125,0.022735,1.62E-05,0.1583068,0.121046215,0.4947791,0.000996541,99.20211
GPT4o-SEinGermany_P8_16-7-2025.png,34,Young,"{'Woman': np.float32(0.00015677798), 'Man': np.float32(99.99985)}",neutral,white,0.00018635,0.000526204,7.87E-06,97.873695,0.9643605,1.1612223,2.8025923,4.17E-05,0.022455633,26.175882,33.21186,0.002473605,37.784687
GPT4o-SEinGermany_P9_16-7-2025.png,27,Young,"{'Woman': np.float32(4.556069e-05), 'Man': np.float32(99.999954)}",neutral,white,0.002825624,0.005828361,0.000383825,95.528305,1.9881669,2.4744906,2.9437246,0.004316195,5.4249196,9.63419,9.787985,3.305751,68.89912
GPT4o-SEinGermany_P10_16-7-2025.png,34,Young,"{'Woman': np.float32(0.0073138266), 'Man': np.float32(99.99268)}",neutral,white,0.00010916,5.65E-05,6.16E-07,99.747925,0.12759541,0.12431687,4.2660084,4.71E-05,0.67960787,0.29567832,6.8661914,0.045679897,87.846794
