Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SEinIndia_P1_15-7-2025.png,34,Young,"{'Woman': np.float32(0.008022345), 'Man': np.float32(99.991974)}",happy,indian,0.005146085,99.32442,0.40032777,0.001182368,0.000564209,0.26837045,4.1330444e-05,8.68492e-12,0.00018341,99.68264,3.043172e-06,0.00253402,0.31459537
GPT4o-SEinIndia_P2_15-7-2025.png,29,Young,"{'Woman': np.float32(0.010560777), 'Man': np.float32(99.98944)}",happy,indian,13.777809,45.256466,15.14603,1.737737,1.778892,22.303064,1.1204894e-12,4.6469295e-24,9.904917e-16,99.96294,1.7030521e-10,5.736332e-05,0.03700391
GPT4o-SEinIndia_P3_15-7-2025.png,29,Young,"{'Woman': np.float32(0.0049306555), 'Man': np.float32(99.99506)}",neutral,indian,0.001856025,99.707924,0.105994634,0.001131889,0.000628786,0.18246475,0.000566599,2.7267308e-10,0.006367736,0.00899377,0.025753222,0.0253903,99.93293
GPT4o-SEinIndia_P4_15-7-2025.png,32,Young,"{'Woman': np.float32(0.0012258714), 'Man': np.float32(99.99877)}",fear,indian,0.00028776,99.30966,0.68233275,0.00020187,7.833177e-05,0.00744215,0.008808032,0.0005189,51.662903,24.784126,0.25080708,0.27897915,23.013857
GPT4o-SEinIndia_P5_15-7-2025.png,28,Young,"{'Woman': np.float32(0.0074837664), 'Man': np.float32(99.992516)}",neutral,indian,0.24291961,94.484634,2.1873267,0.05211717,0.034277186,2.9987252,0.00010489,2.617333e-10,0.001045507,2.5211313,0.01993874,0.34145728,97.11632
GPT4o-SEinIndia_P6_15-7-2025.png,34,Young,"{'Woman': np.float32(0.0011902549), 'Man': np.float32(99.99881)}",happy,indian,0.00013525,99.92804,0.04090012,0.000451465,0.000316723,0.030159397,0.001287219,5.1968648e-08,1.3983152e-05,98.33562,0.002353222,0.001064428,1.6596707
GPT4o-SEinIndia_P7_15-7-2025.png,30,Young,"{'Woman': np.float32(0.01278329), 'Man': np.float32(99.98722)}",neutral,indian,1.7589928,67.580734,21.590666,0.49053034,0.60222274,7.9768686,1.0495458,8.0205746e-07,0.8961929,0.002091696,5.5585046,0.02249591,92.47117
GPT4o-SEinIndia_P8_15-7-2025.png,38,Young,"{'Woman': np.float32(0.010677988), 'Man': np.float32(99.98932)}",neutral,indian,0.003697981,99.26521,0.38656363,0.003759671,0.003164734,0.33760017,0.5942741,8.002042e-05,0.11832971,0.16455893,6.6964335,0.000267953,92.426056
GPT4o-SEinIndia_P9_15-7-2025.png,30,Young,"{'Woman': np.float32(0.015344238), 'Man': np.float32(99.98466)}",neutral,indian,0.000174142,99.92054,0.057490423,0.000218635,0.000445233,0.021126706,2.3479847e-06,1.5811427e-15,5.838306e-05,1.0087203e-05,0.000501203,0.000198422,99.99923
GPT4o-SEinIndia_P10_15-7-2025.png,28,Young,"{'Woman': np.float32(0.0074837664), 'Man': np.float32(99.992516)}",neutral,indian,0.24291961,94.484634,2.1873267,0.05211717,0.034277186,2.9987252,0.00010489,2.617333e-10,0.001045507,2.5211313,0.01993874,0.34145728,97.11632
Llama4-SEinIndia_P1_15-7-2025.jpg,26,Young,"{'Woman': np.float32(2.2706701e-05), 'Man': np.float32(99.99998)}",neutral,indian,0.000276866,94.02961,0.00374509,0.47914496,4.672234,0.8150002,0.15407357,1.787568e-07,0.001211078,0.021235583,0.9318425,0.000432406,98.89121
Llama4-SEinIndia_P2_15-7-2025.jpg,28,Young,"{'Woman': np.float32(3.6429784), 'Man': np.float32(96.35702)}",sad,black,8.646386,6.7993226,48.70144,11.101051,10.079828,14.671976,0.08184795,0.002043478,6.5063763,0.20436548,92.237724,4.9979324e-05,0.96759534
Llama4-SEinIndia_P3_15-7-2025.jpg,27,Young,"{'Woman': np.float32(0.0012214883), 'Man': np.float32(99.99879)}",neutral,indian,0.3316052,83.53112,2.292236,1.9035337,2.713704,9.227803,6.4631424,4.523864e-11,0.019560093,9.547239e-07,10.980861,6.487096e-08,82.53644
Llama4-SEinIndia_P4_15-7-2025.jpg,27,Young,"{'Woman': np.float32(5.648424), 'Man': np.float32(94.35158)}",happy,black,19.497936,7.513964,39.69508,4.2298837,3.0556126,26.007515,2.2514527,0.000547772,8.653124,86.64672,2.4062173,0.000127995,0.04181995
Llama4-SEinIndia_P5_15-7-2025.jpg,26,Young,"{'Woman': np.float32(0.0025495903), 'Man': np.float32(99.99745)}",neutral,middle eastern,0.8495535,10.43183,0.3349059,22.459953,46.406662,19.517097,2.843857,5.633484e-10,0.000638936,7.721118e-05,0.75632375,5.143233e-08,96.39909
Llama4-SEinIndia_P6_15-7-2025.jpg,24,Young,"{'Woman': np.float32(0.0004744213), 'Man': np.float32(99.99953)}",happy,middle eastern,0.092263065,9.838378,0.06962835,18.593773,57.333008,14.072958,0.001443686,9.984893e-15,1.986527e-08,99.94654,3.3048518e-06,7.526184e-09,0.05201333
Llama4-SEinIndia_P7_15-7-2025.jpg,33,Young,"{'Woman': np.float32(1.705319), 'Man': np.float32(98.294685)}",sad,white,0.5505181,1.9322267,21.739885,44.68697,11.571946,19.51845,1.1131821,1.5054104e-08,0.000852284,0.01314551,98.83324,8.489883e-10,0.039589863
Llama4-SEinIndia_P8_15-7-2025.jpg,27,Young,"{'Woman': np.float32(0.5705377), 'Man': np.float32(99.42946)}",neutral,middle eastern,0.015351138,5.4822874,0.017563548,11.104375,78.169945,5.21047,0.7611454,1.1575824e-08,8.7933484e-05,0.001439548,0.1602666,1.5404705e-06,99.07706
Llama4-SEinIndia_P9_15-7-2025.jpg,25,Young,"{'Woman': np.float32(0.0038144954), 'Man': np.float32(99.996185)}",neutral,indian,0.030898951,97.20728,0.15268582,0.14539789,0.13936922,2.3243558,0.49442765,2.0871563e-13,0.000515505,5.088914e-06,0.5949371,6.8872663e-07,98.91011
Llama4-SEinIndia_P10_15-7-2025.jpg,27,Young,"{'Woman': np.float32(14.631049), 'Man': np.float32(85.36896)}",neutral,white,1.9798137,2.6104007,0.4286975,55.26952,25.465448,14.246112,3.3165304e-15,4.658398e-22,0.000201197,0.010745204,0.009371249,7.852811e-10,99.97968
