Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SE in Nigeria_P1_18-7-2025.png,38,Young,"{'Woman': np.float32(0.0022802716), 'Man': np.float32(99.99773)}",neutral,black,2.3905679e-16,9.421303e-13,100,2.4842527e-23,4.4034867e-25,6.3191003e-16,0.49463612,4.808974e-07,0.02750267,0.036585398,1.3488835,0.002025595,98.09037
GPT4o-SE in Nigeria_P2_18-7-2025.png,41,Middle-aged,"{'Woman': np.float32(0.0012311987), 'Man': np.float32(99.99877)}",neutral,black,2.9223244e-07,8.304406e-07,100,1.7162261e-11,1.2087504e-12,3.919072e-08,0.38629025,2.4641809e-08,0.002795482,0.000123441,0.09495782,0.000124414,99.51571
GPT4o-SE in Nigeria_P3_18-7-2025.png,29,Young,"{'Woman': np.float32(0.0040416233), 'Man': np.float32(99.99596)}",neutral,black,5.5464666e-10,1.7277408e-08,100,5.3788493e-16,1.05537865e-17,1.8623109e-10,1.017568,5.10306e-10,0.02875179,0.0383755,0.000496828,3.5185256,95.39628
GPT4o-SE in Nigeria_P4_18-7-2025.png,31,Young,"{'Woman': np.float32(0.006736278), 'Man': np.float32(99.99326)}",neutral,black,1.2157452e-15,1.1093635e-13,100,3.0170678e-22,1.8377993e-23,1.9065604e-15,0.27387822,8.8709315e-09,0.001414134,0.002971558,0.020135762,0.054563418,99.64704
GPT4o-SE in Nigeria_P5_18-7-2025.png,33,Young,"{'Woman': np.float32(0.035102975), 'Man': np.float32(99.96489)}",happy,black,3.213062e-14,1.2405406e-10,100,5.2115994e-20,4.464247e-22,2.9669314e-13,4.9727685e-05,5.1954316e-11,1.1491125e-05,69.601,0.002810132,0.000147201,30.395987
GPT4o-SE in Nigeria_P6_18-7-2025.png,34,Young,"{'Woman': np.float32(0.009414023), 'Man': np.float32(99.990585)}",happy,black,2.7735559e-13,3.4949564e-11,100,1.241998e-19,1.8142918e-21,1.7959961e-13,8.161458e-09,2.3514309e-14,5.586972e-11,98.73267,5.8118176e-06,1.21452795e-05,1.2673005
GPT4o-SE in Nigeria_P7_18-7-2025.png,31,Young,"{'Woman': np.float32(0.024077324), 'Man': np.float32(99.97593)}",neutral,black,2.8387438e-13,1.2034744e-10,100,1.4253117e-18,9.4732356e-20,1.5821801e-12,0.063661456,1.5424072e-07,0.004103432,45.99911,0.14136107,0.022432322,53.769333
GPT4o-SE in Nigeria_P8_18-7-2025.png,33,Young,"{'Woman': np.float32(32.031883), 'Man': np.float32(67.968124)}",neutral,black,1.0327132,4.586344,47.566692,7.5369434,27.876781,11.400531,0.23309444,0.001974073,39.820805,0.003678106,10.5698185,0.002920572,49.367706
GPT4o-SE in Nigeria_P9_18-7-2025.png,32,Young,"{'Woman': np.float32(0.0021006002), 'Man': np.float32(99.9979)}",neutral,black,6.325036e-15,2.867172e-12,100,6.1344336e-23,4.0742689e-25,2.7419304e-15,0.5115938,7.638486e-10,0.00133636,0.07886967,0.008451983,0.000803787,99.39895
GPT4o-SE in Nigeria_P10_18-7-2025.png,32,Young,"{'Woman': np.float32(0.008853233), 'Man': np.float32(99.99114)}",neutral,black,3.3073514e-21,4.324598e-17,100,4.811857e-28,1.19037246e-29,1.5972288e-19,1.3427502,2.4583697e-08,1.8167291,0.000123115,4.533884,3.551553e-06,92.30651
