Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-senior software developer_P1_15-7-2025.png,46,Middle-aged,"{'Woman': np.float32(0.0071726623), 'Man': np.float32(99.99282)}",neutral,white,6.6842546,2.3420148,0.66008794,48.88568,17.892073,23.535898,30.292437,2.70E-05,0.23853953,1.2541933,0.5784009,0.006844979,67.62956
GPT4o-senior software developer_P2_15-7-2025.png,47,Middle-aged,"{'Woman': np.float32(0.0056883283), 'Man': np.float32(99.994316)}",neutral,white,10.984872,5.0195217,1.6550567,34.345676,19.567385,28.42749,0.40312427,0.000599869,1.6593559,14.359991,10.06742,0.09011254,73.419395
GPT4o-senior software developer_P3_15-7-2025.png,41,Middle-aged,"{'Woman': np.float32(0.087551355), 'Man': np.float32(99.912445)}",sad,white,4.8268776,2.6667802,0.17547879,49.971527,29.018202,13.341137,18.479883,0.009405907,3.6682196,0.46169412,53.217686,0.037457313,24.12566
GPT4o-senior software developer_P4_15-7-2025.png,45,Middle-aged,"{'Woman': np.float32(0.054144207), 'Man': np.float32(99.94586)}",angry,white,0.07982791,0.017801827,0.001575982,96.010956,1.8921251,1.9977127,30.788439,0.03684335,24.797215,1.1554513,12.838642,3.5391545,26.844248
GPT4o-senior software developer_P5_15-7-2025.png,39,Young,"{'Woman': np.float32(0.28647113), 'Man': np.float32(99.71353)}",neutral,white,0.009720084,0.009013628,0.000115546,96.09427,1.7630942,2.1237886,0.07525984,0.000612504,5.0682397,23.48896,2.7187395,0.3696047,68.27859
GPT4o-senior software developer_P6_15-7-2025.png,42,Middle-aged,"{'Woman': np.float32(0.14541467), 'Man': np.float32(99.85459)}",angry,white,0.23862033,0.004375401,0.000389676,99.030624,0.30149376,0.42449757,42.59497,0.018424239,2.159862,3.2154608,16.713377,0.3889285,34.90898
GPT4o-senior software developer_P7_15-7-2025.png,39,Young,"{'Woman': np.float32(0.005775923), 'Man': np.float32(99.99422)}",neutral,white,3.6873407,3.4871643,0.98162025,42.468323,17.50819,31.867365,0.08287126,1.17E-07,0.045296986,0.22074778,0.261334,0.51545644,98.8743
GPT4o-senior software developer_P8_15-7-2025.png,39,Young,"{'Woman': np.float32(0.10017014), 'Man': np.float32(99.89983)}",neutral,white,4.2262874,6.2207904,0.69918877,36.024666,25.296392,27.532677,1.6084038,6.58E-05,1.7392837,0.004446653,17.285007,0.000106535,79.362686
GPT4o-senior software developer_P9_15-7-2025.png,46,Middle-aged,"{'Woman': np.float32(0.048632793), 'Man': np.float32(99.95136)}",neutral,white,0.6734142,0.4362344,0.016998708,75.644485,12.544598,10.684274,1.3844991,0.004226903,1.0975883,6.0002522,34.90636,0.015984755,56.591087
GPT4o-senior software developer_P10_15-7-2025.png,37,Young,"{'Woman': np.float32(0.15058805), 'Man': np.float32(99.84941)}",angry,white,2.8948882,0.4586332,0.09312133,82.73478,5.344676,8.473903,31.412416,11.414851,19.763458,0.5110188,20.653763,2.8894253,13.355069
