Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SE in Agile Team_P1_17-7-2025.png,41,Middle-aged,"{'Woman': np.float32(0.0025127102), 'Man': np.float32(99.99748)}",neutral,white,0.04136937,1.3499879,0.033958357,44.143494,43.954353,10.476836,0.029387148,1.64E-14,0.001185553,2.82E-10,23.201942,2.61E-10,76.76749
GPT4o-SE in Agile Team_P2_17-7-2025.png,26,Young,"{'Woman': np.float32(0.05505917), 'Man': np.float32(99.94495)}",neutral,white,0.064941935,0.09170682,0.009232975,75.77237,6.3463345,17.715424,0.93896127,3.47E-05,2.5650837,0.01022192,2.070666,0.001240086,94.413795
GPT4o-SE in Agile Team_P3_17-7-2025.png,37,Young,"{'Woman': np.float32(0.0066402406), 'Man': np.float32(99.99336)}",neutral,white,0.000584759,0.001695627,3.06E-05,97.86786,0.7483807,1.3814393,4.569358,0.000399253,1.9759715,0.022255588,21.700638,0.008127882,71.72325
GPT4o-SE in Agile Team_P4_17-7-2025.png,29,Young,"{'Woman': np.float32(0.0051705143), 'Man': np.float32(99.99483)}",neutral,white,0.000194832,0.000370315,1.40E-05,98.42191,0.74732906,0.8301772,0.009484357,3.03E-08,0.037531883,0.00202637,0.23056869,0.000841213,99.71955
GPT4o-SE in Agile Team_P5_17-7-2025.png,42,Middle-aged,"{'Woman': np.float32(5.3407406e-05), 'Man': np.float32(99.999954)}",neutral,white,1.0565794,4.470485,0.8172844,49.928688,21.970566,21.756403,36.32338,4.25E-07,0.25482133,0.17631751,5.139181,0.000207025,58.1061
GPT4o-SE in Agile Team_P6_17-7-2025.png,25,Young,"{'Woman': np.float32(0.00014762577), 'Man': np.float32(99.999855)}",neutral,white,0.65321046,3.1189094,0.6159307,39.51462,35.30356,20.793776,0.09552651,1.68E-07,0.1197482,0.000641019,0.26339692,0.000180779,99.52051
GPT4o-SE in Agile Team_P7_17-7-2025.png,29,Young,"{'Woman': np.float32(0.00014178686), 'Man': np.float32(99.999855)}",neutral,white,0.13073994,0.97279644,0.13732655,48.420105,33.762573,16.57646,3.3443317,7.49E-08,0.29002336,2.55E-05,4.439227,5.20E-05,91.926346
GPT4o-SE in Agile Team_P8_17-7-2025.png,31,Young,"{'Woman': np.float32(0.00017367413), 'Man': np.float32(99.999825)}",happy,middle eastern,0.24636069,2.614124,0.09023474,31.937656,49.327312,15.784309,1.51E-07,2.52E-11,1.93E-05,99.700584,0.000202568,0.000654279,0.2985329
GPT4o-SE in Agile Team_P9_17-7-2025.png,32,Young,"{'Woman': np.float32(0.0001174174), 'Man': np.float32(99.99988)}",happy,white,0.06717107,0.5771838,0.016014887,54.09019,35.81904,9.4304,0.022390647,1.15E-06,0.010475187,70.306564,0.028780937,0.000412474,29.631376
GPT4o-SE in Agile Team_P10_17-7-2025.png,33,Young,"{'Woman': np.float32(2.1025537e-05), 'Man': np.float32(99.99998)}",happy,white,0.014156173,0.026015768,0.001014663,91.45049,5.1543937,3.3539283,5.83E-05,5.16E-10,1.07E-05,99.038284,0.000686122,0.003446993,0.95751005
Llama4- SE in Agile Team_P1_17-7-2025.jpg,30,Young,"{'Woman': np.float32(5.115768), 'Man': np.float32(94.88423)}",fear,black,34.312748,2.9740474,34.361057,5.5053787,15.486646,7.3601236,1.68E-06,1.63E-18,98.98146,0.53182685,8.76E-10,0.48671475,7.30E-13
Llama4- SE in Agile Team_P2_17-7-2025.jpg,31,Young,"{'Woman': np.float32(99.999825), 'Man': np.float32(0.00017676139)}",neutral,latino hispanic,3.4937713,8.371488,0.668393,29.206059,21.207111,37.05318,0.2608588,2.83E-06,0.2627798,0.052087247,5.2127066,0.003363212,94.2082
Llama4- SE in Agile Team_P3_17-7-2025.jpg,35,Young,"{'Woman': np.float32(0.025639605), 'Man': np.float32(99.974365)}",neutral,white,0.15338817,4.002816,0.11458764,45.877308,39.10215,10.749755,0.014858585,2.29E-16,2.79E-05,0.012146228,0.46237585,3.04E-12,99.51058
Llama4- SE in Agile Team_P4_17-7-2025.jpg,22,Young,"{'Woman': np.float32(0.042192563), 'Man': np.float32(99.95781)}",fear,black,10.411011,11.919814,34.308266,8.002366,7.025524,28.333021,6.315349,0.000351224,78.669205,3.0101042,4.1869206,4.571958,3.2461166
Llama4- SE in Agile Team_P5_17-7-2025.jpg,27,Young,"{'Woman': np.float32(0.000953142), 'Man': np.float32(99.99905)}",neutral,white,0.002416435,0.002061711,5.71E-05,98.106544,0.783798,1.1051279,0.6737524,1.20E-06,0.96225774,0.010177894,20.711058,2.20E-06,77.64275
Llama4- SE in Agile Team_P6_17-7-2025.jpg,28,Young,"{'Woman': np.float32(0.00024473094), 'Man': np.float32(99.99975)}",neutral,middle eastern,0.102553576,4.908476,0.07170213,32.847225,43.85265,18.21739,0.19488913,9.37E-10,0.19763373,8.66E-05,5.142536,4.62E-05,94.464806
Llama4- SE in Agile Team_P7_17-7-2025.jpg,31,Young,"{'Woman': np.float32(0.42802343), 'Man': np.float32(99.571976)}",angry,white,6.6397614,0.27886257,0.1893793,78.988045,0.76294786,13.141007,98.704216,0.000179374,0.053173676,0.002279993,0.33140817,3.31E-07,0.9087354
Llama4- SE in Agile Team_P8_17-7-2025.jpg,34,Young,"{'Woman': np.float32(0.00012824754), 'Man': np.float32(99.99987)}",sad,white,2.58E-09,8.50E-06,2.56E-10,98.10101,1.8663312,0.032655865,10.2534485,0.056606233,2.467471,0.2778972,78.738556,0.3119889,7.8940372
Llama4- SE in Agile Team_P9_17-7-2025.jpg,27,Young,"{'Woman': np.float32(6.090185e-05), 'Man': np.float32(99.99994)}",neutral,middle eastern,0.002889415,4.067674,0.006094414,10.597911,79.67346,5.651973,29.12262,0.006926535,2.7197323,0.46350446,18.617235,0.14557809,48.9244
Llama4- SE in Agile Team_P10_17-7-2025.jpg,34,Young,"{'Woman': np.float32(0.0010143254), 'Man': np.float32(99.998985)}",sad,white,5.09E-06,0.000224208,5.38E-07,97.89266,1.7128205,0.3942849,22.136427,0.05457872,15.631326,0.010668149,36.695175,0.000961051,25.470867
Qwen3-235B-A22B- SE in Agile Team_P1_17-7-2025.png,39,Young,"{'Woman': np.float32(3.5987207e-05), 'Man': np.float32(99.99996)}",angry,middle eastern,0.45846328,5.769767,0.19651112,26.767841,44.21608,22.59134,96.04447,0.000119961,3.2511294,1.95E-05,0.40908763,0.001027545,0.29413804
Qwen3-235B-A22B- SE in Agile Team_P2_17-7-2025.png,37,Young,"{'Woman': np.float32(0.0027743657), 'Man': np.float32(99.99722)}",neutral,white,0.006012702,0.018094422,0.000760393,92.914375,3.6433232,3.4174395,20.68272,0.000100446,21.36312,0.025422763,16.824764,2.785787,38.31808
Qwen3-235B-A22B- SE in Agile Team_P3_17-7-2025.png,36,Young,"{'Woman': np.float32(0.0048046988), 'Man': np.float32(99.99519)}",fear,white,0.14795592,0.73103756,0.05889887,62.228363,19.148668,17.685078,6.1790423,0.024622114,79.74855,0.012146176,4.377286,9.587119,0.07123233
