Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-SE in a startup_P1_14-7-2025.png,33,Young,"{'Woman': np.float32(0.03258491), 'Man': np.float32(99.96742)}",happy,black,9.876664,28.251564,29.980783,5.8203273,6.108877,19.96178,0.04034035,1.6592102e-06,0.020313336,99.328026,0.001907176,0.025430636,0.58398306
GPT4o-SE in a startup_P2_14-7-2025.png,33,Young,"{'Woman': np.float32(0.00018453764), 'Man': np.float32(99.999825)}",happy,white,0.071536824,0.31499854,0.024395322,83.75392,8.69906,7.13609,0.060263183,3.4777793e-05,0.8335841,70.771545,2.566808,0.114751734,25.653015
GPT4o-SE in a startup_P3_14-7-2025.png,33,Young,"{'Woman': np.float32(0.01537841), 'Man': np.float32(99.98462)}",neutral,indian,0.08883982,90.88877,1.9093696,0.9058969,2.7418222,3.4653037,18.928282,0.000291417,0.38265502,34.99127,0.30198202,0.020364318,45.375153
GPT4o-SE in a startup_P4_14-7-2025.png,34,Young,"{'Woman': np.float32(0.007465462), 'Man': np.float32(99.99254)}",happy,indian,0.016536457,97.972855,0.6928736,0.055748306,0.05668295,1.2053118,1.5718534e-09,2.865193e-16,1.9754352e-12,99.981895,2.4298272e-08,2.0307214e-06,0.018103069
GPT4o-SE in a startup_P5_14-7-2025.png,33,Young,"{'Woman': np.float32(0.095661104), 'Man': np.float32(99.90434)}",happy,indian,1.8970721,69.43933,5.740938,3.311091,4.1004543,15.51111,0.10449797,8.220102e-06,0.004069741,91.52152,0.095387705,0.00190364,8.272622
GPT4o-SE in a startup_P6_14-7-2025.png,29,Young,"{'Woman': np.float32(0.008177439), 'Man': np.float32(99.99182)}",happy,indian,0.53592986,79.450905,13.217167,0.49724033,0.41047454,5.8882837,3.998156e-07,6.4764963e-13,2.6300377e-08,98.67979,7.117567e-07,0.001880137,1.3183385
GPT4o-SE in a startup_P7_14-7-2025.png,34,Young,"{'Woman': np.float32(0.0041071465), 'Man': np.float32(99.99589)}",neutral,indian,5.0015917,47.85678,7.8073,6.3957057,10.144148,22.79448,2.1286085,7.0985614e-08,0.0209096,0.014272726,1.3613678,0.000881187,96.47396
GPT4o-SE in a startup_P8_14-7-2025.png,30,Young,"{'Woman': np.float32(0.004825702), 'Man': np.float32(99.99517)}",happy,asian,24.534754,15.840313,24.39004,7.689114,7.39567,20.150116,0.000468287,1.2576933e-15,3.4569393e-08,59.603138,0.002023604,4.7534668e-05,40.39432
GPT4o-SE in a startup_P9_14-7-2025.png,27,Young,"{'Woman': np.float32(0.07041801), 'Man': np.float32(99.92958)}",happy,indian,2.2794,80.23618,4.950287,1.339497,1.0941682,10.100467,5.4388847e-06,1.3906462e-13,2.9645106e-08,99.10446,0.000197674,1.0586586e-05,0.895327
GPT4o-SE in a startup_P10_14-7-2025.png,31,Young,"{'Woman': np.float32(0.2248213), 'Man': np.float32(99.77518)}",happy,asian,74.87285,8.166305,2.0832095,0.49077228,0.10884484,14.278021,0.000364898,3.5215894e-08,0.002450303,92.724625,0.010205701,0.36645398,6.8959007
